3M France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEVISMES CHARLOTTE,19/11/2013,REPAS,€13,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HDAIS ROCLE HASSANIA,27/01/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HDAIS ROCLE HASSANIA,22/03/2013,Hospitalite,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HDAIS ROCLE HASSANIA,13/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HDAIS ROCLE HASSANIA,13/06/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUDELOT CHRISTINE,03/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HUGUES THOMAS,08/02/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ISMAIL SAMIR,21/03/2014,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JHOWRY BRICE,17/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JHOWRY BRICE,15/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,18/01/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,18/12/2013,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,16/05/2012,Hospitalité,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,11/09/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,05/09/2012,Hospitalité,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,10/07/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,19/03/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,05/09/2012,Hospitalité,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,18/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,20/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOLIVET THIERRY,19/03/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIANI DIDIER,26/06/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIANI DIDIER,18/03/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JULIANI DIDIER,26/06/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KHAIDA JOSE,11/03/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KHAIDA JOSE,14/05/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KNECHT JEAN THIERRY,14/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,25/05/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,30/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,01/12/2012,Hospitalité,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,08/03/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,31/01/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,24/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,01/12/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,17/04/2013,Hospitalite,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,03/05/2013,Hospitalite,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,08/10/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,08/03/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI PIERRE,08/10/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOLECKAR HENRI-PIERRE,23/02/2012,Hospitalité,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAFITTE JEAN PIERRE,26/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAFITTE JEAN PIERRE,26/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAGHA KAMEL,21/12/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LALLEMAND AUDE,25/07/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMBERT CHRISTOPHE,15/10/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMBERT CHRISTOPHE,18/12/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMBERT CHRISTOPHE,28/03/2014,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMBERT CHRISTOPHE,03/02/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMBERT CHRISTOPHE,21/02/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAMBERT CHRISTOPHE,22/06/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LASSERI JEAN PIERRE,24/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEBON PATRICK,16/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEBON PATRICK,20/04/2012,Hospitalité,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGENDRE JEAN MARC,20/12/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGENDRE JEAN MARC,30/10/2012,Hospitalité,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGENDRE JEAN MARC,16/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGENDRE JEAN MARC,14/09/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGENDRE JEAN MARC,07/06/2013,Hospitalite,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGENDRE JEAN MARC,16/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGENDRE JEAN MARC,30/10/2012,Hospitalité,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGER GUY PAUL,04/06/2014,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGER GUY PAUL,11/06/2013,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGER GUY PAUL,25/05/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGER GUY PAUL,12/10/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGER GUY PAUL,25/01/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGER GUY PAUL,11/05/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGER GUY PAUL,03/06/2013,Hospitalite,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGER GUY PAUL,18/12/2013,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGRAND DANIEL,26/03/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGRAND DANIEL,25/09/2013,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGRAND DANIEL,25/07/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGRAND DANIEL,14/10/2013,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGRAND DANIEL,25/06/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGRAND DANIEL,27/11/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEONARDI DOMINIQUE,07/02/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,25/06/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,22/05/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,14/10/2013,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,22/05/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,25/06/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,22/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,27/11/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,21/03/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,25/07/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,26/03/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,12/05/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,21/03/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESBATS GERARD,21/03/2014,REPAS,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVY GILBERT,12/12/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVY GILBERT,08/11/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVY GILBERT,26/01/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LIMOUSE LUC,13/12/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LIMOUSE LUC,23/10/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LIMOUSE LUC,08/11/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,14/02/2014,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,11/05/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,04/04/2014,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,27/01/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,18/04/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,11/05/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,28/09/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,22/03/2013,Hospitalite,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,29/06/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,05/04/2013,Hospitalite,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,17/09/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,31/05/2013,Hospitalite,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LONGIN DENIS,21/06/2013,Hospitalite,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOPEZ JACQUES,18/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LOPEZ JACQUES,19/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUCAS MICHEL,12/09/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUCAS MICHEL,03/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUCAS MICHEL,04/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUGOL PIERRE,20/03/2014,TRANSPORT,€304,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUGOL PIERRE,11/03/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUGOL PIERRE,20/03/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUGOL PIERRE,19/03/2014,HEBERGEMENT,€229,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUGOL PIERRE,20/03/2014,REPAS,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUGOL PIERRE,20/03/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUGOL PIERRE,20/03/2014,TRANSPORT,€304,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUGOL PIERRE,19/03/2014,HEBERGEMENT,€229,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUSTGARTEN GRILLOT VERONIQUE,23/11/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARCU ORST IOANA,26/06/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTARESCHE CECILE,27/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTY JAUSSAN ISABELLE,04/04/2013,Hospitalite,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTY JAUSSAN ISABELLE,16/07/2012,Transport,€224,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MARTY JAUSSAN ISABELLE,16/07/2012,Hospitalité,€471,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAS DIDIER,19/06/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAS DIDIER,04/12/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAS DIDIER,28/10/2013,REPAS,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAS DIDIER,25/04/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAS DIDIER,19/10/2013,REPAS,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAS DIDIER,11/05/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASCHI REMY ELISABATEH,03/07/2012,Inscription,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASCHI REMY ELISABATEH,03/07/2012,Hospitalité,€607,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASCHI REMY ELISABATEH,03/07/2012,Transport,€68,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASCHI REMY ELISABETH,17/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASCHI REMY ELISABETH,10/02/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASCHI REMY ELISABETH,15/05/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MATHE THIERRY,26/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MATHE THIERRY,26/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAWAZINI HAZEM,13/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAWAZINI HAZEM,20/03/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAWAZINI HAZEM,24/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAZELLIER SOPHIE,01/10/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEDIONI X,10/10/2013,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEDIONI X,29/10/2013,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHIELS JF,01/10/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,28/02/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,29/11/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,04/02/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,04/10/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,13/03/2013,Hospitalite,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,17/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,13/06/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,07/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,05/03/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,26/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,17/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,03/10/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORAND JEAN PIERRE,28/11/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOSSAY CATHERINE,26/03/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOSSAY CATHERINE,25/06/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MULLER JEAN MICHEL,11/03/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MULLER JEAN MICHEL,14/05/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,07/05/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,13/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,12/03/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,05/06/2012,Hospitalité,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,24/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,31/01/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,15/07/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,20/11/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,20/03/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAKACHE PATRICK,30/01/2014,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAVARRO ROUIMI RUTH,26/04/2013,Hospitalite,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAVARRO ROUIMI RUTH,18/03/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAVARRO ROUIMI RUTH,13/12/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ORS THIERRY,17/04/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PALEOTTI LOUIS ROBERT,07/03/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PECASTAING GEORGES,25/03/2013,Hospitalite,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEDEUTOUR FLORENCE,01/10/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEJOUAN THIERRY,18/06/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEJOUAN THIERRY,19/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELISSIER GEORGES MARIE,11/12/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,08/06/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,08/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,07/07/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,12/06/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,14/09/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,12/03/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,17/06/2014,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,17/04/2012,Hospitalité,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,27/05/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,30/10/2012,Hospitalité,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,22/05/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERADOTTO JEAN,20/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,29/11/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,12/02/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,11/09/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,05/02/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,29/11/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,28/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,14/05/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,18/01/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,13/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEREIRA CORTESE CECILE,18/12/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEYRON AC,01/10/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,01/02/2013,Transport,€510,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,23/05/2014,HEBERGEMENT,€200,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,02/02/2013,Hospitalite,€225,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,22/05/2014,TRANSPORT,€472,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,01/02/2013,Hospitalite,€225,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,22/05/2014,INSCRIPTION,€310,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,01/02/2013,Inscription,€87,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,22/05/2014,HEBERGEMENT,€200,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PICON MARIANNE,14/05/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIERRE LUGOL,20/03/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,08/11/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,31/01/2014,INSCRIPTION,€200,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,23/10/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,07/06/2013,Hospitalite,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,20/06/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,31/01/2014,TRANSPORT,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,15/06/2012,Hospitalité,€61,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,31/01/2014,TRANSPORT,€449,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,13/12/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,14/02/2013,Hospitalite,€15,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,14/11/2013,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,20/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGEARIAS BERNARD,31/05/2012,Hospitalité,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINTO NATHALIE,26/03/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINTO NATHALIE,25/06/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINTO NATHALIE,22/05/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINTO NATHALIE,25/09/2013,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINTO NATHALIE,25/07/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PINTO NATHALIE,27/11/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POLGE CAMILLE,01/12/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PONSAILLE JULIETTE,11/09/2013,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PONSAILLE JULIETTE,13/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PONSAILLE JULIETTE,17/09/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PONSAILLE JULIETTE,18/12/2012,Hospitalité,€28,,
