3M France,Chirurgien-dentiste,GRATADOUR AGNES,06/02/2014,REPAS,€18,,
ICOMED,Médecin,GBONON JEAN MARIE,17/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,HAGER PATRICIA,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HAGER PATRICIA,06/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,HARRAND ANNE MARIE,26/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,KIBLER MARIE PAULE,24/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,KIBLER MARIE PAULE,09/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,LEYENDECKER SYLVIE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MARTIN JACQUES,06/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,NOTON DURAND FRANCOISE,26/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,PERRIOT JEAN LOUIS,29/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PETIT MICHEL,07/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,PETIT MICHEL,06/03/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,RAFFIER CATHERINE,13/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,ROBERT CHRISTIANE,01/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROBIN TERVER FLORENCE,25/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TIBOULET GUILLAUME,14/05/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,VILANOVA DIDIER,06/03/2013,Autre: [Enquête],€28,,
ICOMED,Pharmacien,DEBARD JEAN,03/06/2014,Autre: [Enquête],€24,,
ICOMED,Pharmacien,DEBARD JEAN,18/06/2014,Autre: [Enquête],€16,,
InterMune France SAS,Médecin,MICHEL JEAN-LUC,11/04/2014,REPAS,€25,,
InterMune France SAS,Médecin,MICHEL JEAN-LUC,21/02/2014,REPAS,€11,,
IPSEN PHARMA,Médecin,ATGER MARC,11/06/2014,REPAS,€43,,
IPSEN PHARMA,Médecin,ATGER MARC,08/01/2014,REPAS,€59,,
IPSEN PHARMA,Médecin,LEPRISE PHILIPPE,11/06/2014,REPAS,€43,,
IPSEN PHARMA,Médecin,LEPRISE PHILIPPE,08/01/2014,REPAS,€59,,
IPSEN PHARMA,Médecin,TARTIERE DIDIER,29/01/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,TARTIERE DIDIER,04/06/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,TARTIERE DIDIER,02/10/2013,REPAS,€60,,
JANSSEN-CILAG,Infirmier,HERTZLER MARC,22/01/2013,REPAS,€36,,
JANSSEN-CILAG,Infirmier,KOCH ASTIER CELINE,27/02/2014,REPAS,€43,,
JANSSEN-CILAG,Infirmier,MATHIAS KARINE,22/01/2013,REPAS,€36,,
JANSSEN-CILAG,Infirmier,QUENON NATHALIE,27/02/2014,REPAS,€43,,
JANSSEN-CILAG,Médecin,CRAMPON DELPHINE,16/07/2013,REPAS,€35,,
JANSSEN-CILAG,Médecin,DOLY KUCHCIK LUDIVINE,22/01/2013,REPAS,€36,,
JANSSEN-CILAG,Médecin,DUMESNIL YVAN,28/03/2014,REPAS,€70,,
JANSSEN-CILAG,Médecin,MALKOUN NADIA,28/03/2014,REPAS,€80,,
JANSSEN-CILAG,Médecin,MOULIN JEAN PIERRE,12/01/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,VILANOVA DIDIER,12/01/2013,REPAS,€50,,
Julius Zorn GmbH,Médecin,GIRARD-ROUBERTIE Françoise,26/05/2014,bas Juzo Soft 4683,€29,,
LABORATOIRE ATO-ZIZINE,Association professionnel de santé,LEDIT & GUILLOT,15/11/2012,Cadeaux,€70,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,ACKERMANN-LAVEISSIERE AURELIE,22/07/2013,Autre,€15,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,MATHIEU JEAN,27/11/2012,Cadeaux,€144,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,TERRIAT-COUDERT DOMINIQUE,22/07/2013,Autre,€10,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,LAMOTTE INES,07/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,MARCHANDISE FRANCOIS,29/01/2013,Transport,€452,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,PEREIRA FRANCOISE,20/04/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARVEUF GWENAELLE,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARVEUF GWENAELLE,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ARVEUF GWENAELLE,07/11/2013,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERNARD PHILIPPE,13/06/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNEAU PATRICK,24/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNEAU PATRICK,07/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNEAU PATRICK,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNEAU PATRICK,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BONNEAU PATRICK,24/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURBONNAIS BRIGITTE,15/05/2013,Inscription,€600,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURBONNAIS BRIGITTE,22/03/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARLA HERVE,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARLA HERVE,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAS CHURIE BERNADETTE,19/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARDON CLAUDE,24/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARDON CLAUDE,14/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARDON CLAUDE,07/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARDON CLAUDE,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARDON CLAUDE,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARDON CLAUDE,23/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARDON CLAUDE,13/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARRIER BERNARD,26/01/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARRIER BERNARD,08/11/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARTRON CORINNE,04/12/2013,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARTRON CORINNE,26/01/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOLY JEAN BAPTISTE,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOLY JEAN BAPTISTE,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOLY KUCHCIK LUDIVINE,13/03/2012,Hospitalité,€385,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOLY KUCHCIK LUDIVINE,10/10/2012,Transport,€583,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOLY KUCHCIK LUDIVINE,27/06/2012,Transport,€302,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOLY KUCHCIK LUDIVINE,27/06/2012,Hospitalité,€274,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DOLY KUCHCIK LUDIVINE,13/03/2012,Transport,€293,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANGET JEAN YVES,23/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANGET JEAN YVES,22/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANGET JEAN YVES,07/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANGET JEAN YVES,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FANGET JEAN YVES,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAUMARD PHILIPPE,19/02/2013,Hospitalite,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILARD JEAN MARC,14/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILARD JEAN MARC,07/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILARD JEAN MARC,24/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILARD JEAN MARC,23/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILARD JEAN MARC,30/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILARD JEAN MARC,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILARD JEAN MARC,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GILARD JEAN MARC,13/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,06/12/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,14/06/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,19/12/2013,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,14/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,07/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,06/12/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,30/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,17/04/2014,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,23/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,19/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,13/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,24/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HADDOU FABRICE,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HAGER PATRICIA,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HAGER PATRICIA,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIBLER MARIE PAULE,17/04/2013,Hospitalite,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIBLER MARIE PAULE,13/03/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIBLER MARIE PAULE,11/12/2013,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIBLER MARIE PAULE,06/03/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIBLER MARIE PAULE,13/02/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KIBLER MARIE PAULE,06/03/2014,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAFORET SEVERINE,21/06/2013,Inscription,€245,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANDON CHRISTIAN,18/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANDON CHRISTIAN,13/11/2013,REPAS,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANDON CHRISTIAN,18/10/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUDIVINE DOLY KUCHCIK,10/10/2012,Hospitalité,€272,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONIER PASCAL,13/02/2013,Hospitalite,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOULIN JEAN PIERRE,01/03/2013,Hospitalite,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELISSIER GENEVIEVE,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PELISSIER GENEVIEVE,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERRIOT JEAN LOUIS,31/05/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERRIOT JEAN LOUIS,29/10/2013,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERRIOT JEAN LOUIS,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERRIOT JEAN LOUIS,24/04/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERRIOT JEAN LOUIS,09/10/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETIT MICHEL,06/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PETROU AGNES,23/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGNOL FREDERIQUE,19/02/2013,Hospitalite,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SCHWARTZ DOMINIQUE,27/03/2013,Hospitalite,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SCHWARTZ DOMINIQUE,22/06/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,15/11/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,14/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,15/05/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,03/04/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,07/02/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,02/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,05/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,06/06/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,03/10/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,18/01/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,23/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TARTIERE DIDIER,04/04/2012,Hospitalité,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERGOTE PELAMOURGUES SYLVIE,01/03/2013,Hospitalite,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERGOTE PELAMOURGUES SYLVIE,13/05/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VEYSSET PIERRE,18/10/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VEYSSET PIERRE,18/01/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VILANOVA DIDIER,01/03/2013,Hospitalite,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VORILHON PATRICK,21/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VORILHON PATRICK,21/02/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VORILHON PATRICK,13/06/2013,Hospitalite,€50,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VOURZAY CATHERINE,29/03/2012,Transport,€57,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VOURZAY CATHERINE,29/03/2012,Hospitalité,"€1,889",,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VOURZAY CATHERINE,10/04/2014,TRANSPORT,€479,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VOURZAY CATHERINE,10/04/2014,TRANSPORT,€88,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VOURZAY CATHERINE,10/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VOURZAY CATHERINE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,VOURZAY CATHERINE,10/04/2014,HEBERGEMENT,€121,,
LABORATOIRE JALDES,Médecin,Accoceberry Marie,20/12/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Accoceberry Marie,05/11/2013,Autre : [ECHANTILLON],€13,,
LABORATOIRE JALDES,Médecin,Bonnet Véronique,11/07/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Campagne-Loiseau Sandrine,18/11/2013,Autre : [ECHANTILLON],€13,,
LABORATOIRE JALDES,Médecin,Ganesco-Deglin Marie-Hélène,06/11/2013,Autre : [ECHANTILLON],€13,,
LABORATOIRE JALDES,Médecin,Ganesco-Deglin Marie-Hélène,28/08/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Houlle Céline,30/10/2013,Autre : [ECHANTILLON],€13,,
LABORATOIRE JALDES,Médecin,Houlle Céline,22/07/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Jouaville Lionel,05/11/2013,Autre : [ECHANTILLON],€13,,
LABORATOIRE JALDES,Médecin,Jouaville Lionel,03/07/2013,Autre : [ECHANTILLON],€21,,
LABORATOIRE JALDES,Médecin,Juillard Dominique,12/07/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Kibler Marie-Paule,24/10/2013,Autre : [ECHANTILLON],€13,,
LABORATOIRE JALDES,Médecin,Kibler Marie-Paule,22/07/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Labrunie Sylvie,28/08/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Moussa Georges,26/08/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Vilanova Didier,16/09/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Sage-femme,Quinonero Frédérique,15/07/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Sage-femme,Quinonero Frédérique,03/10/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRES ALCON,Médecin,JEREMIE ROLLAND CECILE,26/06/2014,Repas,€48,,
LABORATOIRES ALCON,Médecin,SABADEL ANNE,10/10/2013,REPAS,€26,,
LABORATOIRES ALCON,Médecin,VESCHAMBRE MARIE-CLAUDE,10/10/2013,REPAS,€26,,
Laboratoires BESINS INTERNATIONAL,Médecin,KIBLER Marie Paule,14/05/2014,Repas,€53,,
Laboratoires BESINS INTERNATIONAL,Médecin,KIBLER Marie-Paule,23/05/2013,Repas,€47,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,ARVEUF GWENAELLE,06/03/2014,Repas,€26,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BONNEAU PATRICK,07/03/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BONNEAU PATRICK,08/04/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BONNEAU PATRICK,05/07/2013,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRUNEHAUT PETAUT MYRIAM,06/03/2014,Repas,€26,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CARLA HERVE,08/04/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DOLY JEAN BAPTISTE,08/04/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GILARD JEAN MARC,08/04/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GILARD JEAN MARC,23/05/2014,Repas,€44,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GILARD JEAN MARC,07/03/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GILARD JEAN MARC,05/07/2013,Repas,€43,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,HADDOU FABRICE,08/04/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,HADDOU FABRICE,23/05/2014,Repas,€44,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LEYENDECKER SYLVIE,08/04/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PETIT MICHEL,03/03/2014,Repas,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PETIT MICHEL,24/04/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PETIT MICHEL,03/10/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,TIBOULET GUILLAUME,08/04/2014,Repas,€38,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BEGON SANDRINE,18/11/2013,Repas,€22,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DEBARD JEAN,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DEBARD JEAN,28/11/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DEBARD JEAN,30/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DEBARD JEAN,03/07/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DOUILLARD ANNE LISE,30/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DOUILLARD ANNE LISE,28/11/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DOUILLARD ANNE LISE,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,DOUILLARD ANNE LISE,03/07/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GEISLER AGNES,30/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GEISLER AGNES,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GEISLER AGNES,28/11/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,GEISLER AGNES,03/07/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LEYRAT FIOCRE FREDERIQUE,18/11/2013,Repas,€22,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SOZEDDE SANDRA,30/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SOZEDDE SANDRA,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SOZEDDE SANDRA,03/07/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,SOZEDDE SANDRA,28/11/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENEL CECILE,18/11/2013,Repas,€22,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BENOISTE ELISABETH,18/11/2013,Repas,€22,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROUSSE LAURETTE,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROUSSE LAURETTE,30/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROUSSE LAURETTE,28/11/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROUSSE LAURETTE,03/07/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DA SILVA ANNE LISE,30/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DA SILVA ANNE LISE,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DA SILVA ANNE LISE,28/11/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DA SILVA ANNE LISE,03/07/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ESTRADE RACHELE,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ESTRADE RACHELE,30/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ESTRADE RACHELE,03/07/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ESTRADE RACHELE,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JAY LAETITIA,30/09/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JAY LAETITIA,02/06/2014,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JAY LAETITIA,03/07/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JAY LAETITIA,28/11/2013,Repas,€27,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTIN PAUL HENRI,18/11/2013,Repas,€22,,
