ABBOTT FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TATTU CHARLOTTE,10/04/2014,REPAS,€40,,
TEVA SANTE SAS,Médecin,BOURGOGNE ERIC,27/02/2014,REPAS,€60,,
TEVA SANTE SAS,Médecin,DANGEL GERARD,24/09/2013,REPAS,€43,,
TEVA SANTE SAS,Médecin,DESBIEZ PHILIPPE,05/12/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,PALAMARCZUK JEAN CLAUDE,05/12/2013,REPAS,€60,,
TEVA SANTE SAS,Médecin,PALAMARCZUK JEAN CLAUDE,27/02/2014,REPAS,€60,,
TEVA SANTE SAS,Médecin,PLUMEY ERIC,26/09/2013,REPAS,€34,,
TEVA SANTE SAS,Médecin,PLUMEY ERIC,20/02/2014,REPAS,€53,,
TEVA SANTE SAS,Médecin,PLUMEY ERIC,06/02/2014,REPAS,€40,,
TEVA SANTE SAS,Médecin,TURBERGUE HENRI,06/02/2014,REPAS,€29,,
THERABEL LUCIEN PHARMA,Médecin,LOUVET GERARD,16/01/2014,REPAS,€40,,
THERABEL LUCIEN PHARMA,Médecin,OHL CHRISTINE,14/10/2013,REPAS,€31,,
THERABEL LUCIEN PHARMA,Médecin,RAFFOUL NADIA,16/01/2014,REPAS,€40,,
THERABEL LUCIEN PHARMA,Médecin,RAFFOUL NADIA,14/10/2013,REPAS,€31,,
VITALAIRE,Médecin,RAFFOUL NADIA,07/12/2013,INSCRIPTION,€120,,
VITALAIRE,Médecin,RAFFOUL NADIA,06/12/2013,HEBERGEMENT,€124,,
VITALAIRE,Médecin,RAFFOUL NADIA,06/12/2013,TRANSPORT,€56,,
VITALAIRE,Médecin,RAFFOUL NADIA,07/12/2013,TRANSPORT,€56,,
VITALAIRE,Médecin,RAFFOUL NADIA,07/12/2013,TRANSPORT,€49,,
Weleda S.A.,Médecin,CURTIT-PLANCHAT Catherine,16/05/2013,Repas,€31,,
Zambon France,Médecin,LOUVET GERARD,21/01/2014,Repas,€36,,
