3M France,Pharmacien,RAVENEAU EDDY,26/03/2014,REPAS,€36,,
GROUPE LEPINE,Médecin,JABOUR WAILL,11/09/2013,REPAS,€47,,
GROUPE LEPINE,Médecin,JABOUR WAILL,25/07/2013,REPAS,€56,,
GROUPE LEPINE,Médecin,JABOUR WAILL,04/10/2013,REPAS,€29,,
GUERBET France,Etablissement de santé,CLINIQUE DES CEDRES,31/12/2013,AUTRE: OUVRAGE,€399,,
GUERBET France,Médecin,DE COURTILLES HELENE,23/01/2014,HEBERGEMENT,€396,,
GUERBET France,Médecin,DUBAYLE PIERRE,30/09/2013,HEBERGEMENT,€430,,
GUERBET France,Médecin,HAUTBOIS ERIC,30/09/2013,HEBERGEMENT,€645,,
HEMOTECH,Médecin,BOUDET REMI,20/11/2013,REPAS,€22,,
HEMOTECH,Médecin,BOUDET REMI,05/03/2014,REPAS,€24,,
HEMOTECH,Médecin,BOUDET REMI,10/09/2013,REPAS,€29,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,DOUNON LAGARDE VERONIQUE,26/03/2014,REPAS,€36,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,12/11/2013,TRANSPORT,€209,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,12/11/2013,REPAS,€35,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,12/11/2013,REPAS,€55,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,12/11/2013,HEBERGEMENT,€190,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,19/03/2014,TRANSPORT,€136,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,19/03/2014,HEBERGEMENT,€199,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,21/05/2014,REPAS,€49,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,20/03/2014,AUTRE:[PAUSE],€11,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,20/03/2014,REPAS,€25,,
HOLLISTER FRANCE Incorporated,Infirmier,MORONVAL DELPHINE,19/03/2014,REPAS,€56,,
horus pharma,Médecin,BARBARA HELENE,11/06/2014,Repas,€55,,
horus pharma,Médecin,BILLOT CLAUDINE,11/06/2014,Repas,€55,,
horus pharma,Médecin,BRAKBI FATIA,11/06/2014,Repas,€55,,
horus pharma,Médecin,BROUSSEAUD FRANCOIS-XAVIER,11/06/2014,Repas,€55,,
horus pharma,Médecin,GAUTIER DOMINIQUE,11/06/2014,Repas,€55,,
horus pharma,Médecin,LACAN HUGUES,11/06/2014,Repas,€55,,
horus pharma,Médecin,LIOZON PATRICK,11/06/2014,Repas,€55,,
horus pharma,Médecin,PELINARD LOUIS,11/06/2014,Repas,€55,,
horus pharma,Médecin,ROUANET CAROLE,11/06/2014,Repas,€55,,
horus pharma,Médecin,SERVANTIE REMI,11/06/2014,Repas,€55,,
HOYA Surgical Optics GmbH,Médecin,BOIVIN - FAURE LAETITIA,03/10/2013,Repas de travail,€24,,
HOYA Surgical Optics GmbH,Médecin,BOIVIN - FAURE LAETITIA,11/10/2013,Repas de travail,€19,,
HOYA Surgical Optics GmbH,Médecin,PELINARD Louis,09/05/2014,Hébergement,€450,,
HOYA Surgical Optics GmbH,Médecin,PELINARD Louis,04/03/2014,Repas,€18,,
HOYA Surgical Optics GmbH,Médecin,PELINARD Louis,06/05/2014,Repas,€18,,
HOYA Surgical Optics GmbH,Pharmacien,GALY AGATHE,03/10/2013,Repas de travail,€24,,
HOYA Surgical Optics GmbH,Pharmacien,Galy Agathe,23/01/2014,Repas,€16,,
ICARE,Médecin,MAGHIA REMY,06/05/2014,Autre,€140,,
ICOMED,Chirurgien-dentiste,ANNON CHRISTOPHE,30/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,CEPAS PIERRE,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,DOUSSAUD JULIEN,13/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,ICHE PRUNIERES NATHALIE,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,MACHAT FRANCOIS,27/05/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MASCARELL ADRIANE,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,MASCARELL MARTI ADRIAN,09/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,MAUMOT ROL NICOLE,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MAUMOT ROL NICOLE,14/04/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,PELAUD PHILIPPE,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,PRUNIERES PATRICK,18/04/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,ROGER ALAIN,29/05/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,ARESU DIDIER,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BADKOUF SABRINA,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BADKOUF SABRINA,05/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,BALIN JEAN JACQUES,05/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BENSLIMANE SAMIR,09/10/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERTHE PAUL,10/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,BOIVIN LAETITIA,15/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOUVOT CATHERINE,13/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BOUVOT CATHERINE,11/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOUVOT CATHERINE,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOUVOT CATHERINE,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOUYSSOU PIERRE PHILIPPE,13/05/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BOUYSSOU PIERRE PHILIPPE,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BRACCO PATRICK,04/04/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BRACCO PATRICK,23/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CHARLIAGUET JEAN PIERRE,07/03/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,CHARLIAGUET JEAN PIERRE,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,CHASTANG ANNE,10/06/2013,Autre: [Enquête],€16,,
ICOMED,Médecin,CHASTANG FREDERIC,20/06/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,CHEVRIER CATHERINE,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,CIGANA ANDRE,05/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,CIGANA SYLVIE,12/02/2013,Autre: [Enquête],€19,,
ICOMED,Médecin,CREMOUX GILBERTE,16/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,CREMOUX GILBERTE,27/03/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,DALET LYDIE,05/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,DEMAUX LAGRANGE ANNE,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DESBREST PHILIPPE,16/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DESBREST PHILIPPE,21/01/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,DURANTIE D AMATO MARIE PASCALE,11/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DURANTIE D AMATO MARIE PASCALE,20/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,DUTHEIL FAHEY MARIE JEANNE,05/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,EL JAMAL SEBASTIEN,05/04/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,EL JAMAL SEBASTIEN,20/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,ESPALIAT ERIC,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,ESPALIAT ERIC,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GAUTIER DOMINIQUE,03/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GERICOT PEAN EMMANUELLE,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GIRAUNIE SOULACROUP MARIE CHRISTINE,13/05/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GUILLAUMONT VERONIQUE,28/05/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,HARISBOURE DE SAINT JORES ISABELLE,06/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,HARISBOURE DE SAINT JORES ISABELLE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,JOHRI MOHAMMED AZIZ,18/06/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,JOHRI MOHAMMED AZIZ,07/08/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,KNAPOVA IVANA,25/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LACROIX ALAIN,07/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,LACROIX ALAIN,11/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LALE CATHERINE,21/03/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,LAPUYADE GERARD,25/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LAURENSOU CORINNE,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LEINEKUGEL LE COCQ BUGEAT CECILE,06/03/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,LEINEKUGEL LE COCQ BUGEAT CECILE,08/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MAGHIA REMI,08/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MAGHIA REMI,06/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,MALLET RICHARD,11/09/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MANDON J CHRISTOPHE,10/12/2013,Autre: [Enquête],€18,,
ICOMED,Médecin,MANDON J CHRISTOPHE,26/03/2013,Autre: [Enquête],€17,,
ICOMED,Médecin,MANESCU MARIA,06/03/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,MARTAILLE JEAN FRANCOIS,26/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MASDUPUY ALLEMAN ANNELISE,04/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,MEILLON CHARLES,09/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MIANE BERTRAND,13/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,MICHEL LUCAS,23/06/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,MISSONNIER GILLES,13/05/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,MISSONNIER GILLES,03/06/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,OLIVIER BRUNO YVES,24/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,OLIVIER BRUNO YVES,18/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,OLIVIER CHARLES,16/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,OLIVIER CHARLES,26/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PETREA INGRID,28/04/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,POSTIL FRANCOIS ANNABEL,26/06/2014,Autre: [Enquête],€23,,
ICOMED,Médecin,POSTIL FRANCOIS ANNABEL,15/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,POULINGEAS LAURENT,06/02/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,PUCHEU ALAIN,15/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,QUILEZ DANIEL,07/11/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,QUILEZ DANIEL,07/11/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,ROBOREL DE CLIMENS JEAN THEOBALD,21/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,ROBOREL DE CLIMENS JEAN THEOBALD,15/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROUVELOUP TRONCHE FRANCOISE,21/03/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,ROYER BERNARD,05/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SINOIR PIERRE FRANCOIS,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,SINOIR PIERRE FRANCOIS,22/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VAYRE FREDERIC,26/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VERBIER NANEIX CHRISTINE,23/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,XAVIER PATRICK,09/05/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,XAVIER PATRICK,18/02/2013,Autre: [Enquête],€29,,
ICOMED,Pharmacien,BEAULIEU PHILIPPE,18/06/2014,Autre: [Enquête],€16,,
ICOMED,Pharmacien,GODE TIXIER ELISABETH,27/05/2014,Autre: [Enquête],€24,,
ICOMED,Pharmacien,PASQUET ROCHE FRANCOISE,18/06/2014,Autre: [Enquête],€16,,
ICOMED,Pharmacien,TAURISSON DELPY CATHERINE,03/06/2014,Autre: [Enquête],€27,,
INTUITIVE SURGICAL SARL,Médecin,MALLET RICHARD,29/05/2013,TRANSPORT,€584,,
INTUITIVE SURGICAL SARL,Médecin,MALLET RICHARD,29/05/2013,TRANSPORT,€514,,
IPSEN PHARMA,Médecin,ROUVELOUP TRONCHE FRANCOISE,14/03/2014,REPAS,€35,,
IPSEN PHARMA,Médecin,ROYER BERNARD,04/04/2014,REPAS,€18,,
IPSEN PHARMA,Médecin,ROYER BERNARD,04/04/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,ROYER BERNARD,04/04/2014,HEBERGEMENT,€120,,
IPSEN PHARMA,Médecin,ROYER BERNARD,04/04/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,ROYER BERNARD,04/04/2014,REPAS,€60,,
JANSSEN-CILAG,Médecin,BACH VINCENT,06/06/2013,REPAS,€45,,
JANSSEN-CILAG,Médecin,CIGANA ANDRE,06/06/2013,REPAS,€45,,
JANSSEN-CILAG,Médecin,CIGANA SYLVIE,06/06/2013,REPAS,€45,,
JANSSEN-CILAG,Médecin,LAPEYRE ALAIN,06/06/2013,REPAS,€45,,
JANSSEN-CILAG,Médecin,MAGHIA REMI,23/06/2013,REPAS,€120,,
JANSSEN-CILAG,Médecin,MAGHIA REMI,23/06/2013,TRANSPORT,€103,,
KARL STORZ ENDOSCOPIE FRANCE SAS,Médecin,ROSENTHAL Claude,13/03/2014,repas,€60,,
LABCATAL,Médecin,HARISBOURE DE SAINT JORES ISABELLE,29/11/2013,REPAS,€27,,
LABCATAL,Médecin,MIESCH BARBARA,29/11/2013,REPAS,€27,,
LABORATOIRE DES GRANIONS,Pharmacien,CHANCEL Renaud,05/11/2013,Repas,€22,,
LABORATOIRE DES GRANIONS,Pharmacien,MONEGER Jean-Frédéric,05/11/2013,Repas,€22,,
LABORATOIRE DES GRANIONS,Pharmacien,SERINGE Céline,05/11/2013,Repas,€22,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,MACHKAN FADOUA,25/11/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,NIVET ALEXANDRE,25/11/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BADKOUF SABRINA,21/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BADKOUF SABRINA,22/10/2013,REPAS,€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENSLIMANE SAMIR,04/12/2012,Hospitalité,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENSLIMANE SAMIR,10/09/2013,REPAS,€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENSLIMANE SAMIR,14/01/2014,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENSLIMANE SAMIR,27/03/2013,Hospitalite,€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENSLIMANE SAMIR,06/04/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BERTHE PAUL,09/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANC FRANCOIS,24/10/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANC FRANCOIS,11/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANC FRANCOIS,30/10/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURGNINAUD WOLFF VIRGINIE,25/11/2013,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHASTANG ANNE,30/05/2013,Hospitalite,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHASTANG ANNE,19/09/2013,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHASTANG FREDERIC,30/05/2013,Hospitalite,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHASTANG FREDERIC,19/09/2013,REPAS,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHEVRIER CATHERINE,06/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COUPERIE GEORGES,09/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOIS RUSSIER CATHERINE,22/03/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ESPALIAT ERIC,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE PHILIPPE,11/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FORTUNE GERARD,24/10/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FORTUNE GERARD,30/10/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GADENNE GERARD,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GELY GHISLAIN,16/01/2014,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GELY GHISLAIN,27/01/2012,Transport,€596,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GELY GHISLAIN,21/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GELY GHISLAIN,27/01/2012,Hospitalité,€339,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GELY GHISLAIN,19/04/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GELY GHISLAIN,07/06/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GELY GHISLAIN,26/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GINESTET PIERRE,22/05/2014,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GINESTET PIERRE,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HARANT STEPAN,22/03/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HENRY BRUNO,12/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HENRY BRUNO,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KNAPOVA IVANA,01/02/2013,Transport,€313,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KNAPOVA IVANA,01/02/2013,Inscription,€87,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KNAPOVA IVANA,01/02/2013,Hospitalite,€225,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KNAPOVA IVANA,02/02/2013,Hospitalite,€225,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOHLER HERVE,11/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOHLER HERVE,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOHLER HERVE,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOHLER HERVE,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOHLER HERVE,11/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KOHLER HERVE,30/10/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LABROUSSE JEAN LOUIS,06/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LIARD MEILLON MARIE ELISABETH,24/03/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAGHIA REMI,06/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAGHIA REMI,28/03/2013,Hospitalite,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAGHIA REMI,02/10/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MALLET RICHARD,09/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MALLET RICHARD,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MALLET RICHARD,24/03/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASDUPUY ALLEMAN ANNELISE,06/06/2013,Hospitalite,€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MASDUPUY ALLEMAN ANNELISE,25/02/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERY JEAN DOMINIQUE,11/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERY JEAN DOMINIQUE,24/10/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERY JEAN DOMINIQUE,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERY JEAN DOMINIQUE,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MERY JEAN DOMINIQUE,30/10/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,METIVIER MARIANNE,15/01/2014,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PAROUTY CHRISTIAN,11/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PORTE PATRICK,13/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POSTIL FRANCOIS ANNABEL,24/05/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POSTIL FRANCOIS ANNABEL,06/06/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POSTIL FRANCOIS ANNABEL,25/10/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POSTIL FRANCOIS ANNABEL,08/07/2013,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POSTIL FRANCOIS ANNABEL,16/09/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POULINGEAS LAURENT,21/11/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,POULINGEAS LAURENT,26/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PREMAUD JEAN PAUL,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PREMAUD JEAN PAUL,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,QUILEZ DANIEL,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,QUILEZ DANIEL,07/06/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,QUILEZ DANIEL,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REBEYROL SERGE,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROBOREL DE CLIMENS JEAN THEOBALD,24/10/2013,REPAS,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND ALAIN,12/02/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROLLAND ALAIN,03/12/2013,REPAS,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUVELOUP TRONCHE FRANCOISE,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUVELOUP TRONCHE FRANCOISE,21/09/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUVELOUP TRONCHE FRANCOISE,26/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYER BERNARD,31/05/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYER BERNARD,21/09/2012,Hospitalité,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYER BERNARD,19/10/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYER BERNARD,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYER BERNARD,13/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYER BERNARD,09/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROYER BERNARD,23/05/2014,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SABOUREAU ANNE,22/05/2014,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAINTIPOLY BERTRAND,12/04/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SALAVERRI MARTINE,12/06/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SCHUE PATRICK,10/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOULACROUP GILLES,17/04/2013,Hospitalite,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SOULACROUP GILLES,22/05/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,STEPAN HARANT,20/03/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TUEL MARIE CLAIRE,22/06/2013,Hospitalite,€146,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TUEL MARIE CLAIRE,20/06/2013,Transport,€610,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TUEL MARIE CLAIRE,20/06/2013,Inscription,€370,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TUEL MARIE CLAIRE,20/06/2013,Hospitalite,€146,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TUEL MARIE CLAIRE,21/06/2013,Hospitalite,€146,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,XAVIER PATRICK,11/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,XAVIER PATRICK,30/10/2012,Hospitalité,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,XAVIER PATRICK,11/10/2012,Hospitalité,€55,,
