ABBOTT PRODUCTS SAS,Médecin,TRAN Jean philippe,19/11/2013,REPAS,€60,,
SANOFI AVENTIS FRANCE,Médecin,MIDDLETON OLIVIER,14/11/2013,Restauration,€35,,
SANOFI AVENTIS FRANCE,Médecin,PEREZ ANNIE,10/07/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,PERONNET CATHERINE,14/11/2013,Restauration,€35,,
SANOFI AVENTIS FRANCE,Médecin,ROBIN PIERRE,14/11/2013,Restauration,€35,,
SANOFI AVENTIS FRANCE,Médecin,SITBON DIDIER,30/04/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,SLIMANE KAMEL,18/09/2013,Frais d'inscription à une réunion scientifique,€530,,
SANOFI AVENTIS FRANCE,Médecin,SOMJA LOUISE MARIE,02/10/2013,Frais d'inscription à une réunion scientifique,€400,,
SANOFI AVENTIS FRANCE,Médecin,TRAN JEAN PHILIPPE,04/02/2014,Repas,€38,,
SANOFI AVENTIS FRANCE,Médecin,TRAN JEAN PHILIPPE,12/03/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,TRAN JEAN PHILIPPE,18/06/2014,Repas,€36,,
SANOFI AVENTIS FRANCE,Pharmacien,NEDELEC EMILIE,10/07/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,NEDELEC EMILIE,22/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,THERET DIDIER,22/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,THERET DIDIER,10/07/2013,Restauration,€40,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DI MANNO ANAELLE,25/03/2014,Repas,€17,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEREZ ANNIE,22/05/2014,Repas,€40,,
SANOFI PASTEUR MSD SNC,Médecin,BENICHOU JOELLE,12/09/2013,Repas,€56,,
SANOFI PASTEUR MSD SNC,Médecin,BOHBOT JACQUES,02/12/2013,Repas,€25,,
SANOFI PASTEUR MSD SNC,Médecin,BOUCHET CAROLE,02/07/2013,Repas,€21,,
SANOFI PASTEUR MSD SNC,Médecin,CARROUGE VERONIQUE,12/07/2013,Repas,€36,,
SANOFI PASTEUR MSD SNC,Médecin,CHOUQUET MARIE CLAIRE,12/07/2013,Repas,€36,,
SANOFI PASTEUR MSD SNC,Médecin,DERHI GATY,02/07/2013,Repas,€21,,
SANOFI PASTEUR MSD SNC,Médecin,DERHI GATY,07/05/2014,Repas,€58,,
SANOFI PASTEUR MSD SNC,Médecin,DERHI GATY,12/09/2013,Repas,€56,,
SANOFI PASTEUR MSD SNC,Médecin,HANNOUN CHARLY,02/07/2013,Repas,€21,,
SANOFI PASTEUR MSD SNC,Médecin,TRAN JEAN PHILIPPE,30/04/2014,Repas,€40,,
SIEMENS SAS,Manipulateur d’électroradiologie médicale,BRAY ALEXANDRE,20/02/2014,REPAS D'AFFAIRE,€29,,
SIEMENS SAS,Manipulateur d’électroradiologie médicale,BRAY ALEXANDRE,14/03/2014,REPAS D'AFFAIRE,€28,,
SIEMENS SAS,Manipulateur d’électroradiologie médicale,SOHARES VIRGINIE,14/03/2014,REPAS D'AFFAIRE,€29,,
SIEMENS SAS,Manipulateur d’électroradiologie médicale,SOHARES VIRGINIE,20/02/2014,REPAS D'AFFAIRE,€29,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COMIN CINDY,10/03/2014,CADEAUX,€57,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,COVEIES NATHALIE,10/03/2014,CADEAUX,€57,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DION DIOLO,10/03/2014,CADEAUX,€57,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUEDOZE NADINE,10/03/2014,CADEAUX,€57,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,KUTUE NADIA,10/03/2014,CADEAUX,€57,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOUVIERE ISABELLE,10/03/2014,CADEAUX,€57,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SUITO MUIGUE,10/03/2014,CADEAUX,€57,,
Small Bone Innovations International SAS,Médecin,MADI FAOUZI,26/11/2013,HEBERGEMENT,€118,,
Small Bone Innovations International SAS,Médecin,MADI FAOUZI,27/11/2013,REPAS,€18,,
Small Bone Innovations International SAS,Médecin,MADI FAOUZI,26/11/2013,REPAS,€45,,
Small Bone Innovations International SAS,Médecin,MADI FAOUZI,26/11/2013,REPAS,€21,,
Small Bone Innovations International SAS,Médecin,MADI FAOUZI,26/11/2013,TRANSPORT,€175,,
Smith & Nephew S.A.S.,Médecin,KATZ VICTOR,27/05/2014,REPAS,€40,,
STALLERGENES SA,Médecin,KOSTER VIDAL MONIQUE,26/09/2013,INSCRIPTION,€400,,
STALLERGENES SA,Médecin,KOSTER VIDAL MONIQUE,26/09/2013,HOSPITALITE,€562,,
Takeda France,Médecin,DAHAN Mickael,16/12/2013,REPAS,€30,,
Takeda France,Médecin,DAHAN Mickael,14/11/2013,REPAS,€50,,
Takeda France,Médecin,DAHAN Mickael,04/11/2013,REPAS,€28,,
Takeda France,Médecin,DAHAN Mickael,11/06/2014,REPAS,€64,,
Takeda France,Médecin,DAHAN Mickael,12/05/2014,REPAS,€41,,
Takeda France,Médecin,DAHAN Mickael,07/04/2014,REPAS,€31,,
Takeda France,Médecin,DAHAN Mickael,10/03/2014,REPAS,€29,,
Takeda France,Médecin,DAHAN Mickael,10/02/2014,REPAS,€34,,
Takeda France,Médecin,DAHAN Mickael,20/01/2014,REPAS,€26,,
Takeda France,Médecin,DENARNAUD Jean,22/04/2014,REPAS,€28,,
Takeda France,Médecin,DENARNAUD Jean,08/01/2014,REPAS,€29,,
Takeda France,Médecin,DENARNAUD Jean,07/01/2014,REPAS,€27,,
Takeda France,Médecin,HOFFMANN Patrice,20/11/2013,INVITATIONS,€220,,
Takeda France,Médecin,HOFFMANN Patrice,16/12/2013,REPAS,€30,,
Takeda France,Médecin,HOFFMANN Patrice,04/11/2013,REPAS,€28,,
Takeda France,Médecin,HOFFMANN PATRICE,20/03/2014,Repas,€226,,
Takeda France,Médecin,HOFFMANN Patrice,07/10/2013,REPAS,€32,,
Takeda France,Médecin,HOFFMANN Patrice,04/11/2013,REPAS,€28,,
Takeda France,Médecin,LE MEUNIER Jean michel,14/11/2013,REPAS,€22,,
Takeda France,Médecin,PEDRON Philippe,20/11/2013,INVITATIONS,€220,,
Takeda France,Médecin,PEDRON Philippe,20/11/2013,REPAS,€60,,
Takeda France,Médecin,TRAN Jean philippe,25/10/2013,REPAS,€56,,
TEVA SANTE SAS,Médecin,AL MOUFTI OUBAIDA,04/02/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,BREITTMAYER FREDERICK,04/02/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,DENARNAUD JEAN,04/02/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,DENARNAUD JEAN,16/10/2013,REPAS,€21,,
TEVA SANTE SAS,Médecin,LACHACHI FOUZI,04/02/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,MANSOUR JEAN PIERRE,04/02/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,MANSOUR JEAN PIERRE,16/10/2013,REPAS,€21,,
TEVA SANTE SAS,Médecin,TORRAS PIERRE,04/02/2014,REPAS,€23,,
TEVA SANTE SAS,Médecin,TRAN JEAN PHILIPPE,22/01/2014,REPAS,€39,,
THERABEL LUCIEN PHARMA,Médecin,ABTROUN HAKIM,07/02/2013,REPAS,€26,,
THERABEL LUCIEN PHARMA,Médecin,MADI FAOUZI,27/06/2013,REPAS,€25,,
THERABEL LUCIEN PHARMA,Médecin,MANSOUR JEAN PIERRE,13/06/2013,REPAS,€33,,
THERABEL LUCIEN PHARMA,Médecin,MANSOUR JEAN PIERRE,06/02/2014,REPAS,€36,,
TORNIER,Médecin,KATZ VICTOR,31/01/2014,Autre : Frais de réception clients,€12,,
TORNIER,Médecin,MADI FAOUZI,31/12/2013,Autre : Invit.Restaurant clients,€32,,
TRB CHEMEDICA,Médecin,BENZACKEN LAURENT,11/03/2014,REPAS,€55,,
TRB CHEMEDICA,Médecin,BENZACKEN LAURENT,24/04/2014,REPAS,€53,,
TRB CHEMEDICA,Médecin,BENZACKEN LAURENT,11/03/2014,CADEAUX,€70,,
TRB CHEMEDICA,Médecin,BENZACKEN LAURENT,30/04/2014,CADEAUX,€61,,
TRB CHEMEDICA,Médecin,BENZACKEN LAURENT,20/05/2014,REPAS,€56,,
VIROPHARMA SPRL,Médecin,DERHI GATY,09/04/2014,REPAS,€40,,
VIROPHARMA SPRL,Médecin,DERHI GATY,22/01/2014,REPAS,€58,,
VITALAIRE,Médecin,VUONG TU KHANH,21/06/2013,RESTAURATION,€19,,
VITALAIRE,Médecin,VUONG TU KHANH,29/01/2012,HEBERGEMENT,€324,,
VITALAIRE,Médecin,VUONG TU KHANH,29/01/2012,RESTAURATION,€114,,
VITALAIRE,Médecin,VUONG TU KHANH,29/01/2012,TRANSPORT,€67,,
VITALAIRE,Médecin,VUONG TU KHANH,03/02/2013,HEBERGEMENT,€464,,
VITALAIRE,Médecin,VUONG TU KHANH,02/02/2013,RESTAURATION,€50,,
VITALAIRE,Médecin,VUONG TU KHANH,29/01/2012,INSCRIPTION,€180,,
VITALAIRE,Médecin,VUONG TU KHANH,03/02/2013,INSCRIPTION,€180,,
VITALAIRE,Médecin,VUONG TU KHANH,03/02/2013,TRANSPORT,€76,,
VITALAIRE,Médecin,VUONG TU-KHANH,30/01/2014,Repas,€50,,
VITALAIRE,Médecin,VUONG TU-KHANH,30/01/2014,Hébergement,€162,,
VITALAIRE,Médecin,VUONG TU-KHANH,25/10/2013,DEJEUNER,€16,,
VITALAIRE,Médecin,VUONG TU-KHANH,31/01/2014,Inscription,€200,,
VITALAIRE,Médecin,VUONG TU-KHANH,30/01/2014,Transport,€101,,
VITALAIRE,Médecin,VUONG TU-KHANH,25/10/2013,DEJEUNER,€16,,
VITALAIRE,Médecin,VUONG TU-KHANH,30/01/2014,Hébergement,€162,,
Zambon France,Médecin,HOFFMANN PATRICE,02/12/2013,Repas,€41,,
Zambon France,Médecin,PEDRON PHILIPPE,20/09/2013,Hébergement,€240,,
Zambon France,Médecin,PEDRON PHILIPPE,20/09/2013,Transport,€690,,
Zambon France,Médecin,PEDRON PHILIPPE,20/09/2013,Repas,€213,,
