3M France,Chirurgien-dentiste,CAUCHY DAVID,30/01/2014,REPAS,€28,,
NOVARTIS PHARMA SAS,Médecin,DIERS ANNE SOPHIE,17/04/2014,Autre : [Participation Evenement Scientifique],€31,,
NOVARTIS PHARMA SAS,Médecin,DIERS ANNE SOPHIE,20/05/2014,Repas,€35,,
NOVARTIS PHARMA SAS,Médecin,GRANDAMME CHRISTIAN,31/01/2014,Repas,€33,,
NOVARTIS PHARMA SAS,Médecin,MALDONATO SAVERIO,28/02/2014,Repas,€24,,
NOVARTIS PHARMA SAS,Médecin,MARBOEUF PHILIPPE,23/10/2013,Repas,€21,,
NOVARTIS PHARMA SAS,Médecin,MARBOEUF PHILIPPE,31/08/2013,Autre : [Inscription Evenement Scientifique],€790,,
NOVARTIS PHARMA SAS,Médecin,MARBOEUF PHILIPPE,31/08/2013,Hébergement,€640,,
NOVARTIS PHARMA SAS,Médecin,MARBOEUF PHILIPPE,18/02/2014,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,MARBOEUF PHILIPPE,31/08/2013,Transport,€330,,
NOVARTIS PHARMA SAS,Médecin,VANDOIS OLIVIER,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
OCP REPARTITION,Pharmacien,BASILIOS LAURA,13/02/2014,REPAS,€35,,
OLYMPUS France SAS,Médecin,LAURENT JEAN-FRANCOIS,22/05/2014,HOSPITALITE,€590,,
Otsuka Pharmaceutical France SAS,Médecin,DURIS Laurent,14/10/2013,RESTAURATION,€23,,
PFIZER SAS,Médecin,ANDRIOLO PHILIPPE,19/11/2013,Repas,€37,,
PFIZER SAS,Médecin,DEBEUGNY ALAIN,19/11/2013,Repas,€37,,
PFIZER SAS,Médecin,DEHEDIN HUGUES,19/11/2013,Repas,€37,,
PHARMA DOM,Médecin,GRANDAMME CHRISTIAN,25/06/2014,RESTAURATION,€20,,
PHARMA DOM,Médecin,KOJFER ALAIN,15/10/2013,REPAS,€51,,
PHARMA DOM,Médecin,ROBOUBI RAMIN,14/01/2014,DEJEUNER D'OPPORTUNITE,€30,,
PHARMATHERA,Médecin,SAUVAGE MARIE ANDREE,15/11/2013,OBJET D HOSPITALITE,€11,,
PHARMATHERA,Médecin,TONDELIER PIERRE,24/07/2013,OBJET D HOSPITALITE,€34,,
PHARMATHERA,Médecin,TONDELIER PIERRE,05/06/2014,Hospitalité,€28,,
PHARMATHERA,Médecin,VANDOIS OLIVIER,15/11/2013,OBJET D HOSPITALITE,€11,,
PHENIX CARDIOLOGIE,Médecin,CARLIOZ ROLAND,26/09/2013,HEBERGEMENT,€230,,
PHENIX CARDIOLOGIE,Médecin,CARLIOZ ROLAND,08/10/2012,REPAS,€18,,
PHENIX CARDIOLOGIE,Médecin,CARLIOZ ROLAND,08/10/2012,REPAS,€46,,
PHENIX CARDIOLOGIE,Médecin,CARLIOZ ROLAND,08/08/2013,[AUTRE] : INSCRIPTION CONGRES,€480,,
PHENIX CARDIOLOGIE,Médecin,CARLIOZ ROLAND,25/09/2013,HEBERGEMENT,€230,,
PHENIX CARDIOLOGIE,Médecin,CARLIOZ ROLAND,25/09/2013,REPAS,€44,,
PHENIX CARDIOLOGIE,Médecin,CARLIOZ ROLAND,16/04/2014,REPAS,€66,,
PHILIPS FRANCE,Médecin,SALHI AHMED,20/06/2014,REPAS,€23,,
PHYSIOL FRANCE,Médecin,BEUVRY ANNE,30/12/2013,CADEAUX,€29,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,DUBROC EMMANUEL,20/11/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Chirurgien-dentiste,PHILIPPE VINCENT,20/11/2013,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,ANDRIOLO PHILIPPE,01/10/2013,RESTAURATION,€32,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARD JEAN CHARLES,30/08/2012,Restauration,€22,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARD JEAN CHARLES,19/01/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARD JEAN CHARLES,20/01/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARD JEAN CHARLES,03/05/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARD JEAN CHARLES,24/05/2013,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,BERNARD JEAN CHARLES,10/01/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,CARLIOZ ROLAND,12/04/2012,Restauration,€62,,
PIERRE FABRE MEDICAMENT,Médecin,CARPENTIER LAURENT,22/05/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,CARPENTIER LAURENT,05/12/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,CUVILLIER BERTRAND,19/09/2012,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,DA ROCHA GUILLAUME,03/10/2012,Frais de dÃƒÂ©placement,€73,,
PIERRE FABRE MEDICAMENT,Médecin,DA ROCHA GUILLAUME,03/10/2012,HÃƒÂ©bergement,€94,,
PIERRE FABRE MEDICAMENT,Médecin,DA ROCHA GUILLAUME,03/10/2012,Restauration,€116,,
PIERRE FABRE MEDICAMENT,Médecin,DEBEUGNY ALAIN,01/10/2013,RESTAURATION,€32,,
PIERRE FABRE MEDICAMENT,Médecin,DEBEUGNY ALAIN,15/03/2013,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,DEBEUGNY ALAIN,26/04/2013,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,DEBEUGNY ALAIN,08/02/2013,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,DEBEUGNY ALAIN,17/01/2014,RESTAURATION,€30,,
PIERRE FABRE MEDICAMENT,Médecin,DECARPIGNY PATRICE,06/03/2013,Frais de dÃƒÂ©placement,€445,,
PIERRE FABRE MEDICAMENT,Médecin,DECARPIGNY PATRICE,06/03/2013,HÃƒÂ©bergement,€114,,
PIERRE FABRE MEDICAMENT,Médecin,DECARPIGNY PATRICE,06/03/2013,Frais de dÃƒÂ©placement,€86,,
PIERRE FABRE MEDICAMENT,Médecin,DECARPIGNY PATRICE,06/03/2013,Restauration,€140,,
PIERRE FABRE MEDICAMENT,Médecin,DEHEDIN HUGUES,01/10/2013,RESTAURATION,€32,,
PIERRE FABRE MEDICAMENT,Médecin,DEHEDIN HUGUES,26/04/2013,Restauration,€34,,
PIERRE FABRE MEDICAMENT,Médecin,DEHEDIN HUGUES,17/01/2014,RESTAURATION,€30,,
PIERRE FABRE MEDICAMENT,Médecin,DEHEDIN HUGUES,20/01/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,DIERS ANNE SOPHIE,29/02/2012,Restauration,€30,,
PIERRE FABRE MEDICAMENT,Médecin,DIERS ANNE SOPHIE,24/10/2012,Restauration,€17,,
PIERRE FABRE MEDICAMENT,Médecin,GRANDAMME CHRISTIAN,12/11/2012,Restauration,€39,,
PIERRE FABRE MEDICAMENT,Médecin,GRANDAMME CHRISTIAN,18/01/2012,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,GRANDAMME CHRISTIAN,11/12/2013,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN SERGE,20/09/2012,Restauration,€31,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN SERGE,30/08/2012,Restauration,€22,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN SERGE,30/08/2012,Restauration,€22,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN SERGE,14/06/2012,Restauration,€54,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN SERGE,19/01/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN SERGE,10/01/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN SERGE,24/05/2013,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,MARTIN SERGE,08/02/2013,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Pharmacien,LACINA FRANCINE,04/12/2012,Restauration,€44,,
Prodition,Audioprothésiste,EVERWIN OLIVIA,10/01/2014,Autre : [CHOCOLATS],€22,,
Prodition,Audioprothésiste,EVERWIN OLIVIA,09/10/2013,Repas,€15,,
Prodition,Audioprothésiste,EVERWYN OLIVIA,21/03/2014,Repas,€15,,
PRODUITS DENTAIRES PIERRE ROLLAND,Chirurgien-dentiste,DUBROC Emmanuel,23/01/2014,Don Produit,€355,,
PRODUITS DENTAIRES PIERRE ROLLAND,Chirurgien-dentiste,DUBROC Emmanuel,26/05/2014,Don Produit,€355,,
PRODUITS DENTAIRES PIERRE ROLLAND,Chirurgien-dentiste,PHILIPPE Vincent,26/05/2014,Don Produit,€355,,
RESEARCH NOW SAS,Médecin,Diers Anne-Sophie,23/01/2013,enquête,€23,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,BRAZIER FRANCOIS,07/02/2014,REPAS,€50,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,BRAZIER MARIE ROSE,07/02/2014,REPAS,€50,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,CATTEAU CLAUDE,06/11/2013,REPAS,€50,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,DEMARECAUX CHRISTELLE,07/02/2014,REPAS,€50,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,SELLE ISABELLE,07/02/2014,REPAS,€50,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,SELLE ISABELLE,27/01/2014,REPAS,€48,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,VERTRAY JACQUES,27/01/2014,REPAS,€48,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BASILIOS MELANIE,07/02/2014,REPAS,€50,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEMARECHAUX CHRISTINE,27/01/2014,REPAS,€48,,
ROCHE SAS,Infirmier,CORROYER LAURENCE,01/02/2014,Repas,€19,,
ROCHE SAS,Médecin,AUBREE YVELINE,03/02/2014,Repas,€19,,
ROCHE SAS,Médecin,CAPIER PIERRE,01/02/2014,Repas,€19,,
ROCHE SAS,Médecin,SALHI AHMED,03/02/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,ANDRIOLO PHILIPPE,03/09/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Médecin,ANDRIOLO PHILIPPE,10/10/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,AUBREE YVELINE,14/04/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,BARRALON LAURENCE,04/02/2014,Repas,€29,,
SANOFI AVENTIS FRANCE,Médecin,BERNARD JEAN CHARLES,10/10/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,BERNARD JEAN CHARLES,13/02/2014,Repas,€27,,
SANOFI AVENTIS FRANCE,Médecin,BERNARD JEAN CHARLES,15/11/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,BERNARD JEAN CHARLES,03/09/2013,Restauration,€33,,
SANOFI AVENTIS FRANCE,Médecin,COUVREUR MARC,04/11/2013,Restauration,€30,,
SANOFI AVENTIS FRANCE,Médecin,DA ROCHA GUILLAUME,23/01/2014,Repas,€15,,
SANOFI AVENTIS FRANCE,Médecin,DA ROCHA GUILLAUME,26/06/2014,Repas,€16,,
SANOFI AVENTIS FRANCE,Médecin,DA ROCHA GUILLAUME,23/07/2013,Restauration,€28,,
SANOFI AVENTIS FRANCE,Médecin,DEBEUGNY ALAIN,03/09/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Médecin,DEBEUGNY ALAIN,15/11/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Médecin,DEBEUGNY ALAIN,14/02/2014,Repas,€28,,
SANOFI AVENTIS FRANCE,Médecin,DEBEUGNY ALAIN,23/05/2014,Repas,€29,,
SANOFI AVENTIS FRANCE,Médecin,DEBEUGNY ALAIN,04/02/2014,Repas,€29,,
SANOFI AVENTIS FRANCE,Médecin,DEBEUGNY ALAIN,05/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,DEBEUGNY ALAIN,03/09/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Médecin,DEBEUGNY ALAIN,10/04/2014,Repas,€48,,
SANOFI AVENTIS FRANCE,Médecin,DEHEDIN HUGUES,03/09/2013,Restauration,€26,,
SANOFI AVENTIS FRANCE,Médecin,MARTIN SERGE,13/02/2014,Repas,€27,,
SANOFI AVENTIS FRANCE,Médecin,MARTIN SERGE,15/11/2013,Restauration,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,BASILIOS LAURA,21/03/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Pharmacien,ZUMDA NICOLAS,21/03/2014,Repas,€35,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PRUVOST JULIE,21/03/2014,Repas,€35,,
SANTELYS ASSIOCIATION,Médecin,MAMEZ GENEVIâVE,26/03/2013,[TRANSPORT],€343,,
Smith & Nephew S.A.S.,Médecin,BERNARD JEAN CHARLES,31/10/2013,REPAS,€33,,
SOS OXYGENE NORD JOLY MEDICAL,Médecin,GRANDAMME CHRISTIAN,01/04/2014,Repas,€27,,
STALLERGENES SA,Médecin,CHEVALON BERNARD,12/03/2014,REPAS,€60,,
STALLERGENES SA,Médecin,CHEVALON BERNARD,21/02/2014,REPAS,€51,,
St Jude Medical France SAS,Médecin,CARLIOZ ROLAND,28/03/2014,Repas,€15,,
St Jude Medical France SAS,Médecin,CARLIOZ ROLAND,20/11/2013,Repas,€60,,
St Jude Medical France SAS,Médecin,GOMMEAUX ANTOINE,05/12/2013,Repas,€33,,
St Jude Medical France SAS,Médecin,GOMMEAUX ANTOINE,17/03/2014,Repas,€60,,
St Jude Medical France SAS,Médecin,GOMMEAUX ANTOINE,28/01/2014,Repas,€11,,
St Jude Medical France SAS,Médecin,GOMMEAUX ANTOINE,28/01/2014,Transport,€371,,
St Jude Medical France SAS,Médecin,GOMMEAUX ANTOINE,28/01/2014,Autre:[Inscription],€625,,
St Jude Medical France SAS,Médecin,GOMMEAUX ANTOINE,28/01/2014,Hébergement,€506,,
SYSMEX FRANCE,Pharmacien,DRANCOURT-DESLIERS JOELLE,13/12/2013,AUTRE,€31,,
SYSMEX FRANCE,Pharmacien,DRANCOURT-DESLIERS JOELLE,14/01/2014,AUTRE,€44,,
SYSMEX FRANCE,Pharmacien,SERPENTINI ARNAUD,15/01/2014,AUTRE,€15,,
Takeda France,Médecin,CHEVALON Bernard,19/12/2013,REPAS,€30,,
Takeda France,Médecin,DEBAVELAERE Christine,23/05/2014,REPAS,€60,,
TEVA SANTE SAS,Médecin,ANDRIOLO PHILIPPE,06/05/2014,REPAS,€32,,
TEVA SANTE SAS,Médecin,ANDRIOLO PHILIPPE,12/11/2013,REPAS,€44,,
TEVA SANTE SAS,Médecin,ANDRIOLO PHILIPPE,24/06/2014,REPAS,€45,,
TEVA SANTE SAS,Médecin,BERNARD JEAN CHARLES,05/09/2013,REPAS,€50,,
TEVA SANTE SAS,Médecin,BERNARD JEAN CHARLES,05/06/2014,REPAS,€37,,
TEVA SANTE SAS,Médecin,CHEVALON BERNARD,15/04/2014,REPAS,€41,,
TEVA SANTE SAS,Médecin,DEBEUGNY ALAIN,12/11/2013,REPAS,€44,,
TEVA SANTE SAS,Médecin,DEBEUGNY ALAIN,24/06/2014,REPAS,€45,,
TEVA SANTE SAS,Médecin,DEHEDIN HUGUES,27/09/2013,REPAS,€52,,
TEVA SANTE SAS,Médecin,MARTIN SERGE,27/03/2014,REPAS,€60,,
TEVA SANTE SAS,Médecin,ROBOUBI RAMIN,15/04/2014,REPAS,€41,,
TEVA SANTE SAS,Pharmacien,BASILIOS LAURA,28/02/2014,REPAS,€25,,
TEVA SANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PRUVOST JULIE,28/02/2014,REPAS,€25,,
THERABEL LUCIEN PHARMA,Médecin,ANDRIOLO PHILIPPE,30/04/2013,REPAS,€39,,
THERABEL LUCIEN PHARMA,Médecin,DEBEUGNY ALAIN,30/04/2013,REPAS,€39,,
THERABEL LUCIEN PHARMA,Médecin,DEHEDIN HUGUES,30/04/2013,REPAS,€39,,
TORNIER,Médecin,PARSY CHARLES,17/09/2013,Autre : Voyages & déplacements clients,€174,,
TORNIER,Médecin,PARSY CHARLES,30/04/2014,Autre : Invit.Restaurant clients,€28,,
TORNIER,Médecin,PARSY CHARLES,17/09/2013,Autre : Invit.Restaurant clients,€16,,
TOSHIBA MEDICAL FRANCE,Médecin,Salhi Ahmed,30/11/2013,Repas,€109,,
VITALAIRE,Infirmier,DEPECKER SOPHIE,24/06/2014,Repas,€38,,
VITALAIRE,Infirmier,MOUDENE AICHA,24/06/2014,Repas,€38,,
Zambon France,Médecin,ANDRIOLO PHILIPPE,28/01/2014,Repas,€43,,
Zambon France,Médecin,ANDRIOLO PHILIPPE,29/10/2013,Repas,€33,,
Zambon France,Médecin,BERNARD JEAN CHARLES,29/10/2013,Repas,€33,,
Zambon France,Médecin,BERNARD JEAN CHARLES,22/05/2014,Repas,€25,,
Zambon France,Médecin,DEBEUGNY ALAIN,28/01/2014,Repas,€43,,
Zambon France,Médecin,DEBEUGNY ALAIN,29/10/2013,Repas,€33,,
Zambon France,Médecin,DEHEDIN HUGUES,28/01/2014,Repas,€43,,
Zambon France,Médecin,DEHEDIN HUGUES,29/10/2013,Repas,€33,,
Zambon France,Médecin,MARTIN SERGE,07/02/2014,Repas,€37,,
Zambon France,Médecin,MARTIN SERGE,22/05/2014,Repas,€25,,
Zimmer France SAS,Médecin,RATTIER Bertrand,11/12/2013,Transport,€166,,
Zimmer France SAS,Médecin,RATTIER Bertrand,11/12/2013,Hospitalité,€370,,
