3S ORTHO,Médecin,AKHARAS CHAOUKI,20/10/2013,REPAS,€64,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,13/09/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,05/04/2013,Hospitalite,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,25/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,07/06/2012,Hospitalité,€19,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,22/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,05/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,12/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIGUET FRANCOIS,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUJARDIN JEAN LOUIS,16/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUJARDIN JEAN LOUIS,05/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRANDIZ ANTONIO,22/11/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRANDIZ ANTONIO,14/06/2012,Hospitalité,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRON JEAN JACQUES,31/01/2013,Inscription,€405,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRON JEAN JACQUES,31/01/2013,Transport,€323,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRON JEAN JACQUES,31/01/2013,Hospitalite,€140,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRON JEAN JACQUES,23/03/2012,Hospitalité,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRON JEAN JACQUES,14/11/2013,REPAS,€65,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GALLE JEAN CLAUDE,09/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIARD THIERRY,05/07/2013,HEBERGEMENT,€390,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIARD THIERRY,05/07/2013,TRANSPORT,€150,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIARD THIERRY,23/03/2012,Hospitalité,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GODEFROY OLIVIER,14/06/2012,Hospitalité,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GODEFROY OLIVIER,22/11/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRELLAUD RODIER ANNE,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRELLAUD RODIER ANNE,01/02/2013,Inscription,€87,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRELLAUD RODIER ANNE,01/02/2013,Transport,€144,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRELLAUD RODIER ANNE,01/02/2013,Hospitalite,€285,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRELLAUD RODIER ANNE,02/02/2013,Hospitalite,€225,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HETIER JEAN JACQUES,16/04/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HETIER JEAN JACQUES,09/02/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HETIER JEAN JACQUES,17/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HETIER JEAN JACQUES,04/07/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HURTES CHRISTINE,11/01/2013,Transport,€306,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HURTES CHRISTINE,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HURTES CHRISTINE,11/01/2013,Hospitalite,€107,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HURTES CHRISTINE,11/01/2013,Inscription,€195,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HURTES CHRISTINE,10/02/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HURTES CHRISTINE,11/01/2013,Hospitalite,€88,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KASSIANOFF ALAIN,16/04/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KASSIANOFF ALAIN,15/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KASSIANOFF ALAIN,17/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KASSIANOFF ALAIN,04/07/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,15/01/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,25/06/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,02/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,21/05/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,12/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,17/01/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,15/03/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,05/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,25/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,16/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KELLER THIERRY,19/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KERVELLA JULIEN NELLY,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KERVELLA JULIEN NELLY,11/01/2013,Inscription,€195,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KERVELLA JULIEN NELLY,10/02/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KERVELLA JULIEN NELLY,11/01/2013,Inscription,€195,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KERVELLA JULIEN NELLY,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KERVELLA JULIEN NELLY,10/02/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LABOURDETTE KHADIDJA,16/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEPARQ VALERIE,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEPARQ VALERIE,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEPEE ALAIN,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,28/03/2014,REPAS,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,31/01/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,21/02/2014,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,04/04/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,15/03/2013,Hospitalite,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,13/07/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,21/06/2012,Hospitalité,€15,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LESTRADE NATHALIE,11/10/2013,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVITTA FRANCOISE,17/01/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVITTA COUZON FRANCOISE,25/06/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVITTA COUZON FRANCOISE,15/01/2013,Hospitalite,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVITTA COUZON FRANCOISE,15/03/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVITTA COUZON FRANCOISE,15/03/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEVITTA COUZON FRANCOISE,19/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MIGNOT HERVE,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MIGNOT HERVE,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MIGNOT HERVE,05/11/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MIGNOT HERVE,02/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MIGNOT HERVE,16/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOREAU SEBASTIEN,13/06/2012,Hospitalité,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUZOU PIERRE,15/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUZOU PIERRE,17/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUZOU PIERRE,05/12/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUZOU PIERRE,12/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUZOU PIERRE,04/07/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUZOU PIERRE,02/07/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUZOU PIERRE,16/04/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,08/06/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,15/02/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,15/03/2013,Hospitalite,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,20/01/2012,Hospitalité,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,15/03/2013,Hospitalite,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,05/04/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,08/06/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,27/01/2012,Hospitalité,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PHILIPPE LAURENCE,15/02/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RANTY CELINE,16/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIPOLL JEAN MICHEL,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIPOLL JEAN MICHEL,21/05/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIPOLL JEAN MICHEL,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIPOLL JEAN MICHEL,30/01/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIPOLL JEAN MICHEL,25/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SCHUCHT GUY,22/11/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SCHUCHT GUY,14/06/2012,Hospitalité,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,25/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,27/11/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,15/02/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,08/06/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,19/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,06/12/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,20/09/2013,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,11/10/2013,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,12/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,21/06/2013,REPAS,€15,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,25/04/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,15/03/2013,Hospitalite,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,15/02/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,27/01/2012,Hospitalité,€12,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,20/01/2012,Hospitalité,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,21/12/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,28/06/2013,Hospitalite,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,28/03/2014,REPAS,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,09/11/2012,Hospitalité,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,19/10/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,27/11/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,15/01/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATARENKO JEAN MICHEL,08/06/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRACHER CELINE,04/04/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRACHER CELINE,11/10/2013,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRACHER CELINE,12/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRACHER CELINE,15/03/2013,Hospitalite,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRACHER CELINE,12/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRACHER CELINE,21/06/2013,REPAS,€15,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VILLALONGA BERNARD,10/02/2014,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VILLETEAU CHRISTIAN,13/02/2014,REPAS,€50,,
LABORATOIRE JALDES,Médecin,Hurtes Christine,03/10/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Hurtes Christine,03/10/2013,Autre : [ECHANTILLON],€13,,
LABORATOIRE JALDES,Médecin,Kervella-Julien Nelly,03/10/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Kervella-Julien Nelly,03/10/2013,Autre : [ECHANTILLON],€13,,
LABORATOIRE NOVEX PHARMA,Médecin,CHERKAOUI ADIL,24/10/2012,Repas,€15,,
LABORATOIRES ALCON,Médecin,BENKO ANDRÉ,07/06/2013,TRANSPORT,€240,,
LABORATOIRES ALCON,Médecin,BENKO ANDRÉ,07/06/2013,REPAS,€95,,
LABORATOIRES ALCON,Médecin,BENKO ANDRÉ,07/06/2013,HEBERGEMENT,€130,,
LABORATOIRES ALCON,Médecin,COTINEAU JEAN,07/06/2013,TRANSPORT,€240,,
LABORATOIRES ALCON,Médecin,COTINEAU JEAN,07/06/2013,REPAS,€95,,
LABORATOIRES ALCON,Médecin,COTINEAU JEAN,07/06/2013,HEBERGEMENT,€130,,
LABORATOIRES ALCON,Médecin,GERVAIS DANIEL,20/03/2014,REPAS,€40,,
LABORATOIRES ALCON,Médecin,PANCHUQUET OSLINA ANNE,20/03/2014,REPAS,€40,,
LABORATOIRES ALCON,Médecin,RAYNAUD SYLVIE,23/10/2013,REPAS,€20,,
LABORATOIRES ALCON,Médecin,RAYNAUD SYLVIE,04/02/2014,REPAS,€22,,
Laboratoires ARKOPHARMA,Autres types de personne morale,OPTIPHARM,08/04/2014,INVITATIONS,"€2,374",,
Laboratoires BESINS INTERNATIONAL,Médecin,HURTES Christine,20/12/2013,Repas,€15,,
Laboratoires BESINS INTERNATIONAL,Médecin,HURTES Christine,18/01/2013,Repas,€23,,
Laboratoires BESINS INTERNATIONAL,Médecin,KERVELLA JULIEN Nelly,20/12/2013,Repas,€15,,
Laboratoires BESINS INTERNATIONAL,Médecin,KERVELLA JULIEN Nelly,18/01/2013,Repas,€23,,
LABORATOIRES BOUCHARA - RECORDATI,Infirmier,MENARD PATRICIA,08/10/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Infirmier,MINIER VALERIE,08/10/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Infirmier,PERIGORD ISABELLE,08/10/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BEDIOU CHRISTOPHE,12/06/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BERTROU JACQUES,10/04/2014,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BERTROU Jacques,13/01/2014,TRANSPORT,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BORDAT MARIE HELENE,04/07/2013,Repas,€31,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,CLERC CHARLYNE,08/10/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,KELLER THIERRY,12/06/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LANONIER CECILE,08/10/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LEMAIRE FREDERIC,08/10/2013,Repas,€21,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MIGNOT HERVE,12/06/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,RIPOLL JEAN MICHEL,04/07/2013,Repas,€31,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,TATARENKO JEAN MICHEL,12/06/2014,Repas,€60,,
LABORATOIRES CONVATEC,Aide soignant,BERNARD SEBASTIEN,22/05/2014,REPAS,€27,,
LABORATOIRES CONVATEC,Aide soignant,CHAUVIN BACHRA,22/05/2014,REPAS,€27,,
LABORATOIRES CONVATEC,Aide soignant,COLLIGNON ISABELLE,22/05/2014,REPAS,€27,,
LABORATOIRES CONVATEC,Aide soignant,DESMAISON GHISLAINE,22/05/2014,REPAS,€27,,
LABORATOIRES CONVATEC,Aide soignant,PLISSON ISABELLE,22/05/2014,REPAS,€27,,
LABORATOIRES CONVATEC,Infirmier,AUSSOURD MARIANNE,06/06/2014,REPAS,€28,,
LABORATOIRES CONVATEC,Infirmier,BAROUDI FLORENCE,19/01/2014,HEBERGEMENT,€39,,
LABORATOIRES CONVATEC,Infirmier,BAROUDI FLORENCE,19/01/2014,TRANSPORT,€134,,
LABORATOIRES CONVATEC,Infirmier,CAILLON MARIE France,22/05/2014,REPAS,€27,,
LABORATOIRES CONVATEC,Infirmier,CARRE AURORE,22/05/2014,REPAS,€27,,
LABORATOIRES CONVATEC,Infirmier,CLAIREAND VIRGINIE,06/06/2014,REPAS,€28,,
LABORATOIRES CONVATEC,Infirmier,GINGAND EDDY,22/11/2013,DEJEUNER,€24,,
LABORATOIRES CONVATEC,Infirmier,LELONG ANNICK,22/05/2014,REPAS,€27,,
LABORATOIRES CONVATEC,Infirmier,MERTZ XAVIER,22/11/2013,DEJEUNER,€24,,
LABORATOIRES CONVATEC,Infirmier,MORO-RAMOS Ana,03/12/2013,HOSPITALITE,€46,,
LABORATOIRES CONVATEC,Infirmier,NOUZAREDE DOMINIQUE,22/11/2013,DEJEUNER,€24,,
LABORATOIRES CONVATEC,Infirmier,OBLET LAETITIA,15/04/2014,REPAS,€20,,
LABORATOIRES CONVATEC,Médecin,AKHRAS CHAOUKI,25/06/2014,AUTRE : INSCRIPTION,€400,,
LABORATOIRES CONVATEC,Pharmacien,DENIS ANNE,12/06/2014,REPAS,€21,,
Laboratoires Expanscience,Médecin,CHAMPELOVIER CHRISTELLE,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,CHAMPELOVIER CHRISTELLE,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,CHARPENTIER MICHEL,18/06/2014,Repas,€51,,
Laboratoires Expanscience,Médecin,CHARPENTIER MICHEL,18/06/2014,Repas,€115,,
Laboratoires Expanscience,Médecin,DICK LUCIEN,29/01/2014,Hospitalité,€550,,
Laboratoires Expanscience,Médecin,DICK LUCIEN,29/01/2014,Hébergement,€540,,
Laboratoires Expanscience,Médecin,DICK LUCIEN,29/01/2014,Repas,€44,,
Laboratoires Expanscience,Médecin,DICK LUCIEN,29/01/2014,Hébergement,€540,,
Laboratoires Expanscience,Médecin,DICK LUCIEN,29/01/2014,Hospitalité,€550,,
Laboratoires Expanscience,Médecin,DICK LUCIEN,29/01/2014,Repas,€44,,
Laboratoires Expanscience,Médecin,DUJARDIN JEAN-LOUIS,18/06/2014,Repas,€115,,
Laboratoires Expanscience,Médecin,DUJARDIN JEAN-LOUIS,18/06/2014,Repas,€51,,
Laboratoires Expanscience,Médecin,FAUGUET JEAN-LUC,12/06/2014,Repas,€55,,
Laboratoires Expanscience,Médecin,FAUQUEZ CAMILLE,20/12/2013,Transport,€63,,
Laboratoires Expanscience,Médecin,FAUQUEZ CAMILLE,20/12/2013,Repas,€20,,
Laboratoires Expanscience,Médecin,FAUQUEZ CAMILLE,20/12/2013,Hébergement,€77,,
Laboratoires Expanscience,Médecin,FAUQUEZ CAMILLE,20/12/2013,Repas,€20,,
Laboratoires Expanscience,Médecin,FAUQUEZ CAMILLE,20/12/2013,Hébergement,€77,,
Laboratoires Expanscience,Médecin,FAUQUEZ CAMILLE,20/12/2013,Transport,€63,,
Laboratoires Expanscience,Médecin,KELLER THIERRY,18/06/2014,Repas,€51,,
Laboratoires Expanscience,Médecin,KELLER THIERRY,18/06/2014,Repas,€115,,
Laboratoires Expanscience,Médecin,LEPEE ALAIN,12/06/2014,Repas,€55,,
Laboratoires Expanscience,Médecin,MOREAU EMILIE,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,MOREAU EMILIE,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,PHILIPPE LAURENCE,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,PHILIPPE LAURENCE,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,SOUBRA ABDUL RAHMAN,12/06/2014,Repas,€55,,
Laboratoires Expanscience,Médecin,TARRACHER CÉLINE,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,TARRACHER CÉLINE,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,TATARENKO JEAN-MICHEL,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,TATARENKO JEAN-MICHEL,13/09/2013,Repas,€18,,
Laboratoires Expanscience,Médecin,VILLALONGA BERNARD,12/06/2014,Repas,€55,,
LABORATOIRES GENEVRIER,Médecin,BENMANSOUR AHMED,19/11/2013,REPAS,€35,,
LABORATOIRES GENEVRIER,Médecin,CHARPENTIER MICHEL,17/10/2013,REPAS,€35,,
LABORATOIRES GENEVRIER,Médecin,FAUQUEZ CAMILLE,19/11/2013,REPAS,€35,,
LABORATOIRES GENEVRIER,Médecin,QUENNESSON SEBASTIEN,19/11/2013,REPAS,€35,,
LABORATOIRES GENEVRIER,Médecin,ROY XAVIER,16/11/2013,TRANSPORT,€150,,
LABORATOIRES GENEVRIER,Médecin,ROY XAVIER,16/11/2013,AUTRE [INSCRIPTION],€350,,
Laboratoires IPRAD PHARMA,Médecin,HURTES CHRISTINE,07/02/2014,REPAS,€21,,
LABORATOIRES MAYOLY SPINDLER,Médecin,CAZES PIERRE YVES,26/05/2014,HOSPITALITE,€40,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DA SILVA JEAN PAUL,22/11/2013,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DUJARDIN JEAN LOUIS,26/05/2014,HOSPITALITE,€40,,
LABORATOIRES MAYOLY SPINDLER,Médecin,EID GEORGES,26/05/2014,HOSPITALITE,€40,,
LABORATOIRES MAYOLY SPINDLER,Médecin,LUNEAU FABRICE,26/05/2014,HOSPITALITE,€40,,
LABORATOIRES MAYOLY SPINDLER,Médecin,PHILIPPE LAURENCE,10/01/2014,HOSPITALITE,€24,,
LABORATOIRES MAYOLY SPINDLER,Médecin,TATARENKO JEAN MICHEL,10/01/2014,HOSPITALITE,€24,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,DENIS ANNE,21/02/2014,HOSPITALITE,€17,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,FAGEON FRANCK,13/03/2014,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,FAGEON MARIE AGNES,13/03/2014,HOSPITALITE,€20,,
LABORATOIRES MAYOLY SPINDLER,Pharmacien,FAGEON MARIE AGNÈS,10/10/2013,HOSPITALITE,€18,,
