3M France,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,YEDIOU LAZHAR,26/11/2013,REPAS,€17,,
Laboratoires Expanscience,Médecin,JOUNEH MOHAMMED,20/12/2013,Repas,€300,,
Laboratoires Expanscience,Médecin,JOUNEH MOHAMMED,20/12/2013,Hébergement,€1,150,,
Laboratoires Expanscience,Médecin,JOUNEH MOHAMMED,20/12/2013,Transport,€1,091,,
Laboratoires Expanscience,Médecin,JOUNEH MOHAMMED,20/12/2013,Repas,€300,,
Laboratoires Expanscience,Médecin,JOUNEH MOHAMMED,20/12/2013,Hébergement,€1,150,,
Laboratoires Expanscience,Médecin,JOUNEH MOHAMMED,20/12/2013,Transport,€1,091,,
Laboratoires Expanscience,Médecin,KUENTZ PHILIPPE,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,KUENTZ PHILIPPE,11/02/2014,Transport,€184,,
Laboratoires Expanscience,Médecin,KUENTZ PHILIPPE,11/02/2014,Hospitalité,€160,,
Laboratoires Expanscience,Médecin,KUENTZ PHILIPPE,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,KUENTZ PHILIPPE,11/02/2014,Transport,€184,,
Laboratoires Expanscience,Médecin,KUENTZ PHILIPPE,11/02/2014,Hospitalité,€160,,
Laboratoires Expanscience,Médecin,LELTE JEAN PIERRE,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,LELTE JEAN PIERRE,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,RATEL ELISABETH,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,RATEL ELISABETH,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,STAN PIERRE,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,STAN PIERRE,11/02/2014,Hospitalité,€160,,
Laboratoires Expanscience,Médecin,STAN PIERRE,11/02/2014,Transport,€205,,
Laboratoires Expanscience,Médecin,STAN PIERRE,18/07/2013,Repas,€47,,
Laboratoires Expanscience,Médecin,STAN PIERRE,11/02/2014,Transport,€205,,
Laboratoires Expanscience,Médecin,STAN PIERRE,11/02/2014,Hospitalité,€160,,
LABORATOIRES GENEVRIER,Médecin,BERGER GAUCHIER FRANCOISE,24/04/2014,REPAS,€45,,
LABORATOIRES GENEVRIER,Médecin,COHEN BERNARD,24/04/2014,REPAS,€45,,
LABORATOIRES GENEVRIER,Médecin,GUILLOT BERNARD,24/04/2014,REPAS,€45,,
LABORATOIRES GENEVRIER,Médecin,HONARMAND MAHCHID,24/04/2014,REPAS,€45,,
LABORATOIRES GENEVRIER,Médecin,JOUNEH MOHAMED HASSAN,23/05/2014,TRANSPORT,€213,,
LABORATOIRES GENEVRIER,Médecin,JOUNEH MOHAMED HASSAN,23/05/2014,HEBERGEMENT,€185,,
LABORATOIRES GENEVRIER,Médecin,KUENTZ PHILIPPE,24/04/2014,REPAS,€45,,
LABORATOIRES GENEVRIER,Médecin,SAGE JEAN CLEMENT,07/02/2014,REPAS,€60,,
LABORATOIRES GENEVRIER,Médecin,SARAZIN ANNE,24/04/2014,REPAS,€45,,
LABORATOIRES GENEVRIER,Médecin,WAREMBOURG EVELYNE,06/09/2013,REPAS,€19,,
LABORATOIRES GENEVRIER,Médecin,WOLF FRANCOISE,24/04/2014,REPAS,€45,,
Laboratoires Grünenthal SAS,Médecin,MENESES ALEXANDRA,21/11/2013,REPAS,€10,,
Laboratoires Grünenthal SAS,Médecin,VASSORT ERIK,20/06/2014,HEBERGEMENT,€185,,
Laboratoires Grünenthal SAS,Médecin,VASSORT ERIK,20/06/2014,REPAS,€115,,
Laboratoires Grünenthal SAS,Médecin,VASSORT ERIK,20/06/2014,TRANSPORT,€202,,
Laboratoires IPRAD PHARMA,Médecin,BIJAOUI SYLVIE,22/11/2013,REPAS,€55,,
Laboratoires IPRAD PHARMA,Médecin,DUPONT GABRIELLE,22/11/2013,REPAS,€55,,
Laboratoires IPRAD PHARMA,Médecin,POLLAK MARTINE,22/11/2013,REPAS,€55,,
Laboratoires IPRAD PHARMA,Médecin,ZAMBELLI VALENTINA,22/05/2014,REPAS,€37,,
Laboratoires IPRAD PHARMA,Sage-femme,LERICQ CORINNE,22/05/2014,REPAS,€37,,
Laboratoires Leurquin Mediolanum,Médecin,BERTRAND CHRISTOPHE,14/04/2014,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,BRUN LAURENCE,14/04/2014,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,CHALTIEL CLAUDE,11/09/2013,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,CHALTIEL CLAUDE,14/03/2014,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,DAHSHAN SULEIMAN,13/06/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,DUCLOZ DUBLANCHE STEPHANIE,28/11/2013,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,GENIN ISABELLE,27/11/2013,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,JARRAND GHISLAINE,27/11/2013,AUTRE,€17,,
Laboratoires Leurquin Mediolanum,Médecin,JOHNSON ERIC,08/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,JOHNSON ERIC,11/09/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LEBAYLE PIERRE MARC,14/03/2014,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,LEBAYLE PIERRE MARC,06/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LEBAYLE PIERRE MARC,15/10/2013,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,LEBAYLE PIERRE MARC,06/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LENAIN MARC,15/10/2013,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,MAX BERNARD,14/03/2014,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,MILLET JEAN YVES,11/09/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,OPREA CRISTINA GEORGIANA,11/09/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,PORTAL CATHERINE,09/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,SAUL DOREEN,28/11/2013,AUTRE,€15,,
Laboratoires Lohmann & Rauscher,Etudiant,DOBREMEZ VALÉRIE,10/04/2013,TRANSPORT,€105,,
Laboratoires Lohmann & Rauscher,Etudiant,VENOUIL TOMY,24/09/2013,REPAS,€13,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DENTANT LIONEL,14/11/2013,INSCRIPTION,€550,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DENTANT LIONEL,10/09/2013,HOSPITALITE,€36,,
LABORATOIRES MAYOLY SPINDLER,Médecin,DENTANT LIONNEL,27/05/2014,HOSPITALITE,€28,,
LABORATOIRES MAYOLY SPINDLER,Médecin,KEZACHIAN GILLES,10/09/2013,HOSPITALITE,€36,,
LABORATOIRES MAYOLY SPINDLER,Médecin,KEZACHIAN GILLES,27/05/2014,HOSPITALITE,€28,,
LABORATOIRES MAYOLY SPINDLER,Médecin,LAROUSSI CHABERT NADIA,10/09/2013,HOSPITALITE,€36,,
LABORATOIRES MAYOLY SPINDLER,Médecin,LAROUSSI-CHABERT NADIA,27/05/2014,HOSPITALITE,€28,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,ALLOUCH JEAN MICHEL,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,BERGER GAUCHIER FRANCOISE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,BESSIERES NOELLE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,BIJAOUI SYLVIE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,COHEN BERNARD,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,DUPONT GABRIELLE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,FARAH VILLAR CORINNE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,GUILLORY SYLVIE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,HONARMAND MAHCHID,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,KUENTZ PHILIPPE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,LELTE JEAN PIERRE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,MASSIAH MICHEL,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,MOTTUEL MARIE FRANCOISE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,MUET FRANCOIS,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,PERRIAUX FRANCOISE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,SAGE JEAN CLEMENT,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,SCHNEIDER MARC,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,TERRASSE CATHERINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Médecin,WOODWARD CAROLE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,BOISNET SOPHIE,11/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,BONTHOUX GILBERT,23/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,BONTHOUX GILBERT,23/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,FLEURY VALERIE,21/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GAILLARD NADINE,11/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GARSON JACQUELINE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GELIBERT SANDRA,21/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,GRALL JOSETTE,11/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LAPIERRE-DJIAN EMILE,21/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LEO-BOISNET SOPHIE,21/11/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,PAGNIER FLORIANE,11/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,PICOT ANNE,11/04/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,PONTHIEU ALEXANDRA,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,SEGURA SYVIANE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,ZITTONI CATHERINE,04/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,ARBARET MONIQUE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,BRANDEIS ROLLAND SANDRINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,CANQUETEAU SOPHIE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,GANTES CECILE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,GUILLOT CHRISTINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,LERICQ CORINNE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,MARMOUX LAETITIA,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,MUGUET CATHERINE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,SAINT ETIENNE LAURE,01/12/2013,CADEAUX,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,ZELLI PASCALE,01/12/2013,CADEAUX,€15,,
Laboratoires TERUMO S.A,Manipulateur d’électroradiologie médicale,AMBROSINI OLIVIER,13/02/2014,REPAS,€20,,
Laboratoires TERUMO S.A,Manipulateur d’électroradiologie médicale,AMBROSINI OLIVIER,22/05/2014,REPAS,€22,,
Laboratoires TERUMO S.A,Manipulateur d’électroradiologie médicale,BUTTIN-CHARVIER AURELIEN,13/02/2014,REPAS,€20,,
Laboratoires TERUMO S.A,Manipulateur d’électroradiologie médicale,VARNET CINDY,22/05/2014,REPAS,€22,,
Laboratoires TERUMO S.A,Médecin,ABDELLAOUI MOHAMED,13/02/2014,REPAS,€20,,
Laboratoires TERUMO S.A,Médecin,ABDELLAOUI MOHAMED,22/05/2014,REPAS,€22,,
Laboratoires TERUMO S.A,Médecin,ABDELLAOUI MOHAMED,03/04/2014,REPAS,€13,,
Laboratoires TERUMO S.A,Médecin,FAURIE BENJAMIN,28/10/2013,REPAS,€18,,
Laboratoires TERUMO S.A,Médecin,FAURIE BENJAMIN,13/02/2014,REPAS,€20,,
Laboratoires TERUMO S.A,Médecin,FAURIE BENJAMIN,11/12/2013,REPAS,€63,,
Laboratoires TERUMO S.A,Médecin,FAURIE BENJAMIN,12/07/2013,AUTRE : INSCRIPTION,€814,,
Laboratoires THEA,Médecin,AZARIAN MARYAM,13/02/2014,REPAS,€55,,
Laboratoires THEA,Médecin,AZRAN ALAIN,22/05/2014,REPAS,€55,,
Laboratoires THEA,Médecin,BENYAMIN JEAN-JACQUES,22/05/2014,REPAS,€55,,
Laboratoires THEA,Médecin,BERTHEMY PELLET SYLVIE,19/12/2013,REPAS,€55,,
Laboratoires THEA,Médecin,BRU MARC,11/04/2014,REPAS,€28,,
Laboratoires THEA,Médecin,BRU MARC,24/09/2013,REPAS,€15,,
Laboratoires THEA,Médecin,BRU MARC,30/09/2013,REPAS,€12,,
Laboratoires THEA,Médecin,BRU MARC-MICHEL,22/11/2013,REPAS,€25,,
Laboratoires THEA,Médecin,DRUELLE MANOHA AGNES,13/02/2014,REPAS,€55,,
Laboratoires THEA,Médecin,DRUELLE MANOHA AGNES,19/12/2013,REPAS,€55,,
Laboratoires THEA,Médecin,DUCLOZ DUBLANCHE STEPHANIE,13/02/2014,REPAS,€55,,
Laboratoires THEA,Médecin,FAURE JACQUES,26/11/2013,REPAS,€55,,
Laboratoires THEA,Médecin,GENIN ISABELLE,13/06/2014,HEBERGEMENT,€192,,
Laboratoires THEA,Médecin,GENIN ISABELLE,05/09/2013,REPAS,€55,,
Laboratoires THEA,Médecin,GENIN ISABELLE,13/02/2014,REPAS,€55,,
Laboratoires THEA,Médecin,GENIN ISABELLE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,GENIN ISABELLE,30/06/2014,REPAS,€17,,
Laboratoires THEA,Médecin,GENIN ISABELLE,13/06/2014,AUTRE,€160,,
Laboratoires THEA,Médecin,JARRAND GHISLAINE,13/06/2014,AUTRE,€160,,
Laboratoires THEA,Médecin,LALANNE WOERNER SOPHIE,13/02/2014,REPAS,€55,,
Laboratoires THEA,Médecin,LE BLOND EVELYNE,22/11/2013,REPAS,€25,,
Laboratoires THEA,Médecin,LE BLOND EVELYNE,05/07/2013,REPAS,€16,,
Laboratoires THEA,Médecin,LE BLOND EVELYNE,30/09/2013,REPAS,€12,,
Laboratoires THEA,Médecin,LEGOUPIL CHRISTINE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,MARIOTTI JEAN MICHEL,26/11/2013,REPAS,€55,,
Laboratoires THEA,Médecin,MASELLA JEAN JACQUES,17/07/2013,REPAS,€33,,
Laboratoires THEA,Médecin,MASELLA JEAN JACQUES,26/09/2013,HOSPITALITE,€1,660,,
Laboratoires THEA,Médecin,MASELLA JEAN JACQUES,26/09/2013,AUTRE,€476,,
Laboratoires THEA,Médecin,MENGER DOMINIQUE,28/03/2014,REPAS,€35,,
Laboratoires THEA,Médecin,MENGER DOMINIQUE,05/09/2013,REPAS,€55,,
Laboratoires THEA,Médecin,MENGER DOMINIQUE,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,MIQUEL PHILIPPE,23/11/2013,REPAS,€55,,
Laboratoires THEA,Médecin,PERESSE DENIS,23/01/2014,REPAS,€50,,
Laboratoires THEA,Médecin,PERESSE DENIS,26/11/2013,REPAS,€55,,
Laboratoires THEA,Médecin,PORTAL CATHERINE,21/03/2014,REPAS,€38,,
Laboratoires THEA,Médecin,PORTAL CATHERINE,23/11/2013,REPAS,€55,,
Laboratoires THEA,Médecin,PORTAL CATHERINE,06/06/2014,REPAS,€39,,
Laboratoires THEA,Médecin,PORTAL CATHERINE,26/06/2014,REPAS,€22,,
Laboratoires THEA,Médecin,PORTAL CATHERINE,22/05/2014,REPAS,€55,,
Laboratoires THEA,Médecin,ROGE ARNAUD,22/11/2013,REPAS,€25,,
Laboratoires THEA,Médecin,ROGE ARNAUD,11/04/2014,REPAS,€28,,
Laboratoires THEA,Médecin,ROGE ARNAUD,30/09/2013,REPAS,€12,,
Laboratoires THEA,Médecin,SERRA TOSIO FRANCOISE,26/06/2014,REPAS,€22,,
Laboratoires THEA,Médecin,SERRA TOSIO FRANCOISE,26/11/2013,REPAS,€55,,
Laboratoires THEA,Médecin,VAREILLES MARC,11/04/2014,REPAS,€28,,
Laboratoires THEA,Médecin,VAREILLES MARC,24/09/2013,REPAS,€15,,
LABORATOIRES URGO,Infirmier,BUISSIERE Alexandre,14/03/2014,Repas,€19,,
LABORATOIRES URGO,Infirmier,DIDRI PEYRET NEILA,04/10/2013,REPAS,€19,,
LABORATOIRES URGO,Infirmier,MICHON SOPHIE,11/09/2013,REPAS,€17,,
LABORATOIRES URGO,Infirmier,OUVRARD ROMAIN,04/10/2013,REPAS,€19,,
LABORATOIRES URGO,Infirmier,PASQUIER ALEXIS,11/09/2013,REPAS,€17,,
LABORATOIRES URGO,Infirmier,RESCA Sylvain,25/03/2014,Repas,€17,,
LABORATOIRES URGO,Infirmier,RESCA SYLVAIN,11/09/2013,REPAS,€17,,
LABORATOIRES URGO,Infirmier,RIZZI Brigitte,25/03/2014,Repas,€17,,
LABORATOIRES URGO,Médecin,BERGER-GAUCHIER FRANÇOISE,17/09/2013,REPAS,€37,,
LABORATOIRES URGO,Médecin,DIDIER ROBERTO BRIGITTE,17/09/2013,REPAS,€37,,
LABORATOIRES URGO,Médecin,GUILLOT Bernard,14/05/2014,Repas,€27,,
LABORATOIRES URGO,Médecin,GUILLOT BERNARD,26/09/2013,REPAS,€29,,
LABORATOIRES URGO,Médecin,JAMET Alain,14/05/2014,Repas,€27,,
LABORATOIRES URGO,Médecin,LELTE JEAN-PIERRE,26/09/2013,REPAS,€29,,
LABORATOIRES URGO,Médecin,LELTE Jean-Pierre,14/05/2014,Repas,€27,,
LABORATOIRES URGO,Médecin,TSAN PIERRE,27/09/2013,REPAS,€34,,
LABORATOIRES URGO,Médecin,TSAN Pierre,14/05/2014,Repas,€27,,
Labvoratoire CHAUVIN,Etudiant,REMOND PERRINE,19/10/2013,HEBERGEMENT [2 nuits],€304,,
Labvoratoire CHAUVIN,Etudiant,REMOND PERRINE,19/10/2013,TRANSPORT,€182,,
Labvoratoire CHAUVIN,Etudiant,REMOND PERRINE,18/10/2013,REPAS,€57,,
Labvoratoire CHAUVIN,Etudiant,REMOND PERRINE,19/10/2013,REPAS,€35,,
Labvoratoire CHAUVIN,Etudiant,REMOND PERRINE,19/10/2013,REPAS,€54,,
Labvoratoire CHAUVIN,Médecin,AZRAN ALAIN,28/08/2013,REPAS,€57,,
Labvoratoire CHAUVIN,Médecin,AZRAN ALAIN,28/08/2013,REPAS,€60,,
Labvoratoire CHAUVIN,Médecin,AZRAN ALAIN,28/08/2013,REPAS,€53,,
Labvoratoire CHAUVIN,Médecin,AZRAN ALAIN,28/08/2013,REPAS,€53,,
Labvoratoire CHAUVIN,Médecin,AZRAN ALAIN,28/08/2013,REPAS,€60,,
Labvoratoire CHAUVIN,Médecin,BERTHEMY PELLET SYLVIE,03/10/2013,REPAS,€25,,
Labvoratoire CHAUVIN,Médecin,GENIN ISABELLE,20/06/2014,REPAS,€44,,
Labvoratoire CHAUVIN,Médecin,GENIN ISABELLE,24/10/2013,REPAS,€25,,
Labvoratoire CHAUVIN,Médecin,GENIN ISABELLE,20/06/2014,REPAS,€44,,
Labvoratoire CHAUVIN,Médecin,GENIN ISABELLE,20/06/2014,TRANSPORT,€260,,
Labvoratoire CHAUVIN,Médecin,GENIN ISABELLE,20/06/2014,HEBERGEMENT,€173,,
Labvoratoire CHAUVIN,Médecin,GENIN ISABELLE,20/06/2014,REPAS,€44,,
Labvoratoire CHAUVIN,Médecin,MASELLA JEAN JACQUES,24/10/2013,REPAS,€25,,
Labvoratoire CHAUVIN,Médecin,SERRA TOSIO FRANCOISE,24/10/2013,REPAS,€25,,
Labvoratoire CHAUVIN,Médecin,VAREILLES MARC,24/10/2013,REPAS,€25,,
LeMaitre Vascular SAS,Médecin,LANTERNIER SERGE,26/11/2012,REPAS,€16,,
LeMaitre Vascular SAS,Médecin,LANTERNIER SERGE,26/11/2012,REPAS,€16,,
LENTILLES SAS,Médecin,LEBLOND EVELYNE,02/12/2013,HEBERGEMENT,€179,,
LENTILLES SAS,Médecin,LEBLOND EVELYNE,13/12/2013,REPAS,€60,,
LENTILLES SAS,Médecin,LEBLOND EVELYNE,13/12/2013,HEBERGEMENT,€119,,
LEO Pharma,Association professionnel de santé,ASSOCIATION REGIONALE DE MEDECINE VASCULAIRE RHONE-ALPES,18/03/2014,DONS DE FONCTIONNEMENT,€1,500,,
LEO Pharma,Infirmier,DESBAT LAURENCE,27/02/2014,REPAS,€39,,
LEO Pharma,Infirmier,DESBAT LAURENCE,24/04/2014,REPAS,€36,,
LEO Pharma,Médecin,AUROUZE JACQUES,07/02/2014,Repas,€43,,
LEO Pharma,Médecin,BERGER GAUCHIER FRANCOISE,27/01/2014,REPAS,€35,,
LEO Pharma,Médecin,BERGER GAUCHIER FRANCOISE,30/01/2014,AUTRE : INSCRIPTION,€180,,
LEO Pharma,Médecin,BERGER GAUCHIER FRANCOISE,30/01/2014,HEBERGEMENT,€300,,
LEO Pharma,Médecin,BESSON CHRISTOPHE,12/07/2013,REPAS,€20,,
LEO Pharma,Médecin,BESSON CHRISTOPHE,08/10/2013,REPAS,€16,,
LEO Pharma,Médecin,CHARVET REMI,17/03/2014,REPAS,€19,,
LEO Pharma,Médecin,CHATAIN FREDERIC,24/10/2013,REPAS,€22,,
LEO Pharma,Médecin,CHATAIN FREDERIC,28/02/2014,REPAS,€42,,
LEO Pharma,Médecin,CHATAIN FREDERIC,04/06/2014,REPAS,€34,,
LEO Pharma,Médecin,COZZI ALEXANDRINE,18/06/2013,REPAS,€16,,
LEO Pharma,Médecin,CUSIN NATHALIE,07/02/2014,REPAS,€36,,
LEO Pharma,Médecin,CUSIN NATHALIE,16/05/2014,REPAS,€36,,
LEO Pharma,Médecin,DAHSHAN SULEIMAN,26/09/2013,REPAS,€60,,
LEO Pharma,Médecin,DIDIER ROBERTO BRIGITTE,27/01/2014,REPAS,€35,,
LEO Pharma,Médecin,DIDIER ROBERTO BRIGITTE,26/09/2013,REPAS,€60,,
LEO Pharma,Médecin,DORIDOT PIERRE,07/02/2014,Repas,€43,,
LEO Pharma,Médecin,EL ASAAD MANSOUR RIVA,10/09/2013,REPAS,€22,,
LEO Pharma,Médecin,EL ASAAD MANSOUR RIVA,13/05/2014,REPAS,€36,,
LEO Pharma,Médecin,EL ASAAD MANSOUR RIVA,17/10/2013,REPAS,€60,,
LEO Pharma,Médecin,EL ASAAD MANSOUR RIVA,11/02/2014,REPAS,€39,,
LEO Pharma,Médecin,EL ASAAD MANSOUR RIVA,13/05/2014,REPAS,€36,,
LEO Pharma,Médecin,FILLON JEAN PIERRE,31/05/2013,REPAS,€49,,
LEO Pharma,Médecin,FRANCO GUY,17/06/2014,REPAS,€31,,
LEO Pharma,Médecin,FRANCO GUY,20/09/2013,REPAS,€10,,
LEO Pharma,Médecin,FRENOUX CORALIE,20/11/2013,HOSPITALITE,€46,,
LEO Pharma,Médecin,GUILLOT BERNARD,02/04/2014,REPAS,€30,,
LEO Pharma,Médecin,HONARMAND MAHCHID,31/05/2013,REPAS,€49,,
LEO Pharma,Médecin,JOUK JARRY SYLVIE,31/05/2013,REPAS,€49,,
LEO Pharma,Médecin,LANTUEJOUL JEAN PIERRE,17/03/2014,REPAS,€19,,
LEO Pharma,Médecin,LANTUEJOUL JEAN PIERRE,16/10/2013,REPAS,€18,,
LEO Pharma,Médecin,LANTUEJOUL JEAN PIERRE,12/07/2013,REPAS,€20,,
LEO Pharma,Médecin,LANTUEJOUL JEAN PIERRE,04/12/2013,REPAS,€32,,
LEO Pharma,Médecin,LANTUEJOUL JEAN PIERRE,14/06/2013,REPAS,€38,,
LEO Pharma,Médecin,LANTUEJOUL JEAN PIERRE,29/05/2013,REPAS,€22,,
LEO Pharma,Médecin,LANTUEJOUL JEAN PIERRE,13/09/2013,REPAS,€18,,
LEO Pharma,Médecin,LEBAYLE PIERRE MARC,25/10/2013,REPAS,€42,,
LEO Pharma,Médecin,LEBAYLE PIERRE MARC,26/09/2013,REPAS,€60,,
LEO Pharma,Médecin,LELTE JEAN PIERRE,02/04/2014,REPAS,€30,,
LEO Pharma,Médecin,LELTE JEAN PIERRE,31/05/2013,REPAS,€49,,
LEO Pharma,Médecin,LENAIN MARC,16/05/2014,REPAS,€36,,
LEO Pharma,Médecin,MANEGLIA BENJAMIN,20/09/2013,REPAS,€10,,
LEO Pharma,Médecin,MANEGLIA BENJAMIN,17/06/2014,REPAS,€31,,
LEO Pharma,Médecin,MASSIAH MICHEL,31/05/2013,REPAS,€49,,
LEO Pharma,Médecin,MAX BERNARD,25/10/2013,REPAS,€42,,
LEO Pharma,Médecin,PELLISSIER JEAN LOUIS,07/02/2014,REPAS,€36,,
LEO Pharma,Médecin,PELLISSIER JEAN LOUIS,25/10/2013,REPAS,€42,,
LEO Pharma,Médecin,PELLISSIER JEAN LOUIS,16/05/2014,REPAS,€36,,
LEO Pharma,Médecin,PELLISSIER JEAN LOUIS,26/09/2013,REPAS,€60,,
LEO Pharma,Médecin,RATEL ELISABETH,31/05/2013,REPAS,€49,,
LEO Pharma,Médecin,RIOM HERVE,17/06/2014,REPAS,€31,,
LEO Pharma,Médecin,RIOM HERVE,20/09/2013,REPAS,€10,,
LEO Pharma,Médecin,STAQUET VINCENT,04/04/2013,TRANSPORT,€49,,
LEO Pharma,Médecin,STAQUET VINCENT,04/04/2013,TRANSPORT,€96,,
LEO Pharma,Médecin,STAQUET VINCENT,04/04/2013,AUTRE : INSCRIPTION,€320,,
LEO Pharma,Médecin,STEIDEL MARIE,17/06/2014,REPAS,€31,,
