3M France,Chirurgien-dentiste,GUIBERT PIERRE PHILIPPE,01/07/2013,REPAS,€26,,
SHIRE France S.A.,Médecin,MOLINA VIRGINIA,06/02/2014,Repas,€24,,
SHIRE France S.A.,Médecin,URENA TORRES PABLO ANTONIO,18/04/2013,Transport,€128,,
SHIRE France S.A.,Médecin,URENA TORRES PABLO ANTONIO,18/04/2013,Hébergement,€200,,
STALLERGENES SA,Médecin,MELKA ROBERT,18/09/2013,REPAS,€25,,
STALLERGENES SA,Médecin,MELKA ROBERT,03/06/2014,REPAS,€33,,
STALLERGENES SA,Médecin,MELKA ROBERT,13/12/2013,REPAS,€27,,
TEVA SANTE SAS,Médecin,KICHELEWSKI SYLVAIN,13/06/2014,REPAS,€43,,
TEVA SANTE SAS,Médecin,MELKA ROBERT,13/06/2014,REPAS,€43,,
TEVA SANTE SAS,Médecin,ROFE SOTTO ELISABETH,13/06/2014,REPAS,€43,,
THERABEL LUCIEN PHARMA,Médecin,BENICHOU LUC,18/03/2013,REPAS,€53,,
THERABEL LUCIEN PHARMA,Médecin,BENICHOU LUC,18/03/2013,REPAS,€53,,
THERABEL LUCIEN PHARMA,Médecin,KICHELEWSKI SYLVAIN,18/03/2013,REPAS,€53,,
THERABEL LUCIEN PHARMA,Médecin,KICHELEWSKI SYLVAIN,18/03/2013,REPAS,€53,,
THERABEL LUCIEN PHARMA,Médecin,MELKA ROBERT,18/03/2013,REPAS,€53,,
THERABEL LUCIEN PHARMA,Médecin,MELKA ROBERT,18/03/2013,REPAS,€53,,
THERABEL LUCIEN PHARMA,Médecin,ROFE SOTTO ELISABETH,18/03/2013,REPAS,€53,,
THERABEL LUCIEN PHARMA,Médecin,ROFE SOTTO ELISABETH,18/03/2013,REPAS,€53,,
THUASNE,Etudiant,POYER LAURA,05/02/2014,REPAS,€10,,
THUASNE,Pharmacien,CABON THIERRY,05/02/2014,REPAS,€10,,
THUASNE,Pharmacien,DUORSAT NATHALIE,05/02/2014,REPAS,€10,,
THUASNE,Pharmacien,MECCA THIERRY,05/02/2014,REPAS,€10,,
THUASNE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BORG LUDOVIC,05/02/2014,REPAS,€10,,
THUASNE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GERARD SANDRA,05/02/2014,REPAS,€10,,
THUASNE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUIBERT PASCAL,05/02/2014,REPAS,€10,,
THUASNE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE TARTRE OLIVIER,05/02/2014,REPAS,€10,,
THUASNE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MALLE STELLA,05/02/2014,REPAS,€10,,
TRB CHEMEDICA,Médecin,LEBRUN THIERRY,30/10/2013,CADEAUX,€60,,
TRB CHEMEDICA,Médecin,LEBRUN THIERRY,20/05/2014,AUTRE : CONGRES,€350,,
VITALAIRE,Association professionnel de santé,CLINIQUE DU LANDY,24/09/2012,DON MONETAIRE,€86,,
Zambon France,Médecin,BENICHOU LUC,28/05/2014,Repas,€30,,
Zambon France,Médecin,MELKA ROBERT,28/05/2014,Repas,€30,,
