3M France,Chirurgien-dentiste,TREMONT DOMINIQUE,07/10/2013,REPAS,€35,,
MSD France,Médecin,CADE PATRICK,27/11/2012,REPAS,€40,,
MSD France,Médecin,CADE PATRICK,18/03/2014,REPAS,€30,,
MSD France,Médecin,CAYLA PIERRE,20/09/2012,HOSPITALITE,€52,,
MSD France,Médecin,CAYLA PIERRE,04/07/2013,REPAS,€51,,
MSD France,Médecin,COPPIN MURIELLE,05/05/2014,REPAS,€18,,
MSD France,Médecin,DUCOS FRANCOIS,17/09/2013,REPAS,€16,,
MSD France,Médecin,DUCOS FRANCOIS,02/07/2013,REPAS,€22,,
MSD France,Médecin,DUCOS FRANCOIS,15/05/2014,REPAS,€30,,
MSD France,Médecin,DUCOS FRANCOIS,13/02/2014,REPAS,€25,,
MSD France,Médecin,LEDUC XAVIER,02/07/2013,REPAS,€22,,
MSD France,Médecin,LEDUC XAVIER,13/02/2014,REPAS,€25,,
MSD France,Médecin,LEDUC XAVIER,17/09/2013,REPAS,€16,,
MSD France,Médecin,NEUFFER HERMANN,02/07/2013,REPAS,€22,,
MSD France,Médecin,NEUFFER HERMANN,15/05/2014,REPAS,€30,,
MSD France,Médecin,ROCCA PAUL HENRY,17/09/2013,REPAS,€16,,
MSD France,Médecin,ROCCA PAUL HENRY,15/10/2013,REPAS,€60,,
MSD France,Médecin,ROCCA PAUL HENRY,13/02/2014,REPAS,€25,,
MSD France,Médecin,ROCCA PAUL HENRY,15/05/2014,REPAS,€30,,
MSD France,Médecin,ROCCA PAUL HENRY,02/07/2013,REPAS,€22,,
MSD France,Médecin,SERRA BERNARD,21/11/2012,HOSPITALITE,€51,,
MUNDIPHARMA,Médecin,MARCAILLOU LUC,17/06/2014,AUTRE : FORMATION MEDICALE CONTINUE,€59,,
MUNDIPHARMA,Médecin,PELLET FRANCOIS,27/06/2014,HEBERGEMENT,€220,,
MUNDIPHARMA,Médecin,PELLET FRANCOIS,27/06/2014,REPAS,€10,,
MUNDIPHARMA,Médecin,PELLET FRANCOIS,27/06/2014,TRANSPORT,€11,,
MUNDIPHARMA,Médecin,PELLET FRANCOIS,27/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,PELLET FRANCOIS,27/06/2014,TRANSPORT,€396,,
NIDEK SA,Médecin,BOUCHUT PIERRE,12/10/2013,Hospitalité,€589,,
NIDEK SA,Médecin,BOUCHUT PIERRE,18/01/2014,HOSPITALITE,€452,,
NORDIC PHARMA SAS,Médecin,BOUCHET PAULINE,23/10/2013,Inscription,€195,,
NOVARTIS PHARMA SAS,Médecin,AGUEDO MELANIE,15/01/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,AGUEDO MELANIE,08/04/2014,Repas,€35,,
NOVARTIS PHARMA SAS,Médecin,AGUEDO MELANIE,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,AGUEDO MELANIE,17/06/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,AOUIZERATE FRANK,30/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,AOUIZERATE FRANK,06/02/2014,Transport,€544,,
NOVARTIS PHARMA SAS,Médecin,AOUIZERATE FRANK,13/02/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,AOUIZERATE FRANK,28/04/2014,Autre : [Participation Evenement Scientifique],€34,,
NOVARTIS PHARMA SAS,Médecin,AOUIZERATE FRANK,06/02/2014,Autre : [Formation],€938,,
NOVARTIS PHARMA SAS,Médecin,AOUIZERATE FRANK,06/02/2014,Autre : [Participation Evenement Scientifique],€260,,
NOVARTIS PHARMA SAS,Médecin,AOUIZERATE FRANK,06/02/2014,Transport,€544,,
NOVARTIS PHARMA SAS,Médecin,AOUIZERATE FRANK,30/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,BERANGER PHILIPPE,14/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,BERNARD ARNAUD,30/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,BERNARD ARNAUD,02/04/2014,Transport,"€1,683",,
NOVARTIS PHARMA SAS,Médecin,BERNARD ARNAUD,02/04/2014,Hébergement,"€1,301",,
NOVARTIS PHARMA SAS,Médecin,BERNARD ARNAUD,28/04/2014,Autre : [Participation Evenement Scientifique],€34,,
NOVARTIS PHARMA SAS,Médecin,BERNARD ARNAUD,15/11/2013,Autre : [Inscription Evenement Scientifique],"€1,397",,
NOVARTIS PHARMA SAS,Médecin,BERNARD ARNAUD,02/04/2014,Autre : [Inscription Evenement Scientifique],€468,,
NOVARTIS PHARMA SAS,Médecin,BOISSERIE LACROIX VINCENT,03/12/2013,Autre : [Hospitalité Evenement Scientifique],€46,,
NOVARTIS PHARMA SAS,Médecin,BOISSERIE LACROIX VINCENT,19/09/2013,Autre : [Hospitalité Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,BOISSERIE LACROIX VINCENT,24/01/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,BOUCHUT PIERRE,13/02/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,COMTE PASCAL,15/11/2013,Autre : [Inscription Evenement Scientifique],"€1,397",,
NOVARTIS PHARMA SAS,Médecin,COMTE PASCAL,13/02/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,COMTE PASCAL,28/04/2014,Autre : [Participation Evenement Scientifique],€34,,
NOVARTIS PHARMA SAS,Médecin,COMTE PASCAL,20/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,COPPIN MURIELLE,04/10/2013,Repas,€30,,
NOVARTIS PHARMA SAS,Médecin,COPPIN MURIELLE,18/09/2013,Autre : [Hospitalité Evenement Scientifique],€47,,
NOVARTIS PHARMA SAS,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,13/02/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,20/03/2014,Hébergement,€440,,
NOVARTIS PHARMA SAS,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,20/03/2014,Transport,€173,,
NOVARTIS PHARMA SAS,Médecin,DELIGNAT LAVAUD MARIE SYLVIE,20/03/2014,Repas,€60,,
NOVARTIS PHARMA SAS,Médecin,DUCOS FRANCOIS,08/04/2014,Repas,€35,,
NOVARTIS PHARMA SAS,Médecin,DUCOS FRANCOIS,17/06/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,DUCOS FRANCOIS,16/01/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,FALQUE LAURENT,26/02/2014,Autre : [Participation Evenement Scientifique],€43,,
NOVARTIS PHARMA SAS,Médecin,FALQUE LAURENT,24/01/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,LEDUC XAVIER,19/06/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,LEDUC XAVIER,08/04/2014,Repas,€35,,
NOVARTIS PHARMA SAS,Médecin,LEDUC XAVIER,15/01/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,LEDUC XAVIER,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LEDUC XAVIER,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,26/09/2013,Autre : [Inscription Evenement Scientifique],€476,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,08/09/2013,Repas,€60,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,26/09/2013,Repas,€181,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,08/09/2013,Hébergement,€211,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,08/09/2013,Transport,€349,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,26/09/2013,Hébergement,€756,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,08/09/2013,Autre : [Inscription Evenement Scientifique],€260,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,13/02/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,27/03/2014,Hébergement,€210,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,27/03/2014,Autre : [Inscription Evenement Scientifique],€240,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,28/04/2014,Autre : [Participation Evenement Scientifique],€34,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,26/09/2013,Autre : [Inscription Evenement Scientifique],€476,,
NOVARTIS PHARMA SAS,Médecin,METZQUER CAROLINE,08/09/2013,Autre : [Inscription Evenement Scientifique],€260,,
NOVARTIS PHARMA SAS,Médecin,NEUFFER HERMANN,17/06/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,NEUFFER HERMANN,15/01/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,PELLET FRANCOIS,26/02/2014,Autre : [Participation Evenement Scientifique],€43,,
NOVARTIS PHARMA SAS,Médecin,PELLET FRANCOIS,24/01/2014,Repas,€52,,
NOVARTIS PHARMA SAS,Médecin,PELLET FRANCOIS,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,PELLET FRANCOIS,17/09/2013,Autre : [Hospitalité Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,PELLET FRANCOIS,07/09/2013,Hébergement,€681,,
NOVARTIS PHARMA SAS,Médecin,PELLET FRANCOIS,07/09/2013,Autre : [Inscription Evenement Scientifique],€685,,
NOVARTIS PHARMA SAS,Médecin,PELLET FRANCOIS,07/09/2013,Repas,€96,,
NOVARTIS PHARMA SAS,Médecin,PELLET FRANCOIS,07/09/2013,Transport,"€1,423",,
NOVARTIS PHARMA SAS,Médecin,PERREIN JEAN BERNARD,05/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ROCCA PAUL HENRY,19/06/2014,Repas,€50,,
NOVARTIS PHARMA SAS,Médecin,ROCCA PAUL HENRY,18/07/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ROCCA PAUL HENRY,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ROCCA PAUL HENRY,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ROCCA PAUL HENRY,05/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ROCCA PAUL HENRY,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,20/01/2014,Hébergement,€597,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,30/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,05/07/2013,Repas,€47,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,20/09/2013,Repas,€23,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,20/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,02/04/2014,Autre : [Inscription Evenement Scientifique],€390,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,02/04/2014,Hébergement,"€1,301",,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,02/04/2014,Repas,€182,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,20/01/2014,Repas,€288,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,13/02/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,20/01/2014,Transport,"€4,511",,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,02/04/2014,Autre : [Participation Evenement Scientifique],€90,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,02/04/2014,Transport,"€1,488",,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,20/01/2014,Autre : [Participation Evenement Scientifique],€64,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,28/04/2014,Autre : [Participation Evenement Scientifique],€34,,
NOVARTIS PHARMA SAS,Médecin,SCHAUER PHILIPPE,20/02/2014,Repas,€55,,
NOVARTIS PHARMA SAS,Médecin,SERRA BERNARD,17/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Orthoptiste,GASSON GREGORY,28/04/2014,Autre : [Participation Evenement Scientifique],€34,,
NOVARTIS PHARMA SAS,Orthoptiste,GASSON GREGORY,13/02/2014,Repas,€48,,
NOVARTIS PHARMA SAS,Orthoptiste,GIRAULT SANDRINE,05/10/2013,Hébergement,€132,,
NOVARTIS PHARMA SAS,Orthoptiste,GIRAULT SANDRINE,05/10/2013,Autre : [Participation Evenement Scientifique],€85,,
NOVARTIS PHARMA SAS,Orthoptiste,GIRAULT SANDRINE,05/10/2013,Transport,€523,,
NOVARTIS PHARMA SAS,Pharmacien,DUPIN SYLVIE,26/09/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
OCP REPARTITION,Pharmacien,WAWRZYNIAK LEA,20/11/2013,REPAS,€60,,
PECH CERCIAT,Médecin,Boucher Pauline,20/08/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Boucher Pauline,27/11/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Bouchet Pauline,03/10/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Lambert Audrey,20/09/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Levesque-Martin Geneviève,19/08/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Nazarre Laure,19/08/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Rainaud Sophie,29/10/2013,Autre : [ECHANTILLON],€20,,
PECH CERCIAT,Médecin,Rainaud Sophie,20/08/2013,Autre : [ECHANTILLON],€20,,
PFIZER SAS,Médecin,CAYLA PIERRE,07/11/2013,Repas,€24,,
PFIZER SAS,Médecin,ROCCA PAUL HENRY,05/12/2013,REPAS,€54,,
PFIZER SAS,Médecin,ROCCA PAUL HENRY,05/12/2013,REPAS,€54,,
PFIZER SAS,Médecin,ROCHE ALBERT,05/12/2013,REPAS,€54,,
PFIZER SAS,Médecin,SERRA BERNARD,14/04/2014,REPAS,€55,,
PHARMA DOM,Association professionnel de santé,APPSO,03/03/2014,DON,"€3,000",,
PHARMA DOM,Médecin,FALQUE LAURENT,31/01/2014,DEJEUNER D'OPPORTUNITE,€57,,
PHARMA DOM,Médecin,FALQUE LAURENT,13/12/2013,DEJEUNER D'OPPORTUNITE,€35,,
PHARMA DOM,Médecin,MARCAILLOU LUC,18/01/2014,HEBERGEMENT,€134,,
PHARMA DOM,Médecin,MARCAILLOU LUC,17/01/2014,REPAS,€96,,
PHARMA DOM,Médecin,MARCAILLOU LUC,31/01/2014,DEJEUNER D'OPPORTUNITE,€57,,
PHARMA DOM,Médecin,MARCAILLOU LUC,13/12/2013,DEJEUNER D'OPPORTUNITE,€35,,
PHARMA DOM,Médecin,MARCAILLOU LUC,02/12/2013,DEJEUNER D'OPPORTUNITE,€16,,
PHARMA DOM,Médecin,MARCAILLOU LUC,08/09/2013,REPAS,€53,,
PHARMA DOM,Médecin,PELLET FRANCOIS,26/04/2014,INSCRIPTION,€520,,
PHARMA DOM,Médecin,PELLET FRANCOIS,26/04/2014,HEBERGEMENT 4 NUITS,"€1,029",,
PHARMA DOM,Médecin,PELLET FRANCOIS,26/04/2014,TRANSPORT,€858,,
PHARMA DOM,Médecin,PELLET FRANCOIS,26/04/2014,REPAS,€141,,
PHARMA DOM,Médecin,WICKERS FREDERIC,04/04/2014,REPAS,€72,,
PHARMATHERA,Médecin,AGUEDO MELANIE,21/11/2013,OBJET D HOSPITALITE,€13,,
PHARMATHERA,Médecin,DUCOS FRANCOIS,21/11/2013,OBJET D HOSPITALITE,€13,,
PHARMATHERA,Médecin,LEDUC XAVIER,21/11/2013,OBJET D HOSPITALITE,€13,,
PHARMATHERA,Médecin,MENUDIER MARC FRANCOIS,04/07/2013,OBJET D HOSPITALITE,€50,,
PHARMATHERA,Médecin,ROCCA PAUL HENRY,21/11/2013,OBJET D HOSPITALITE,€13,,
PHILIPS FRANCE,Médecin,MESTRE JEAN-CLAUDE,17/09/2013,TRANSPORT,€300,,
PHILIPS FRANCE,Médecin,MESTRE JEAN-CLAUDE,17/09/2013,REPAS,€100,,
PHILIPS FRANCE,Médecin,MESTRE JEAN-CLAUDE,17/09/2013,HEBERGEMENT,€180,,
PHYSIOL FRANCE,Médecin,AOUIZERATE FRANCK,03/12/2013,CADEAUX,€30,,
PHYSIOL FRANCE,Médecin,AOUIZERATE FRANCK,18/07/2013,REPAS,€18,,
PHYSIOL FRANCE,Médecin,AOUIZERATE FRANCK,12/09/2013,AUTRE : COLLATION BLOC,€20,,
PHYSIOL FRANCE,Médecin,AOUIZERATE FRANCK,15/07/2013,REPAS,€18,,
PHYSIOL FRANCE,Médecin,AOUIZERATE FRANCK,07/11/2013,AUTRE : COLLATION BLOC,€22,,
PHYSIOL FRANCE,Médecin,BERNARD ARNAUD,24/01/2014,AUTRE,€17,,
PHYSIOL FRANCE,Médecin,GIRY JEAN ALCIDE,04/12/2013,AUTRE : COLLATION BLOC,€26,,
PHYSIOL FRANCE,Médecin,GIRY JEAN ALCIDE,10/10/2013,AUTRE : COLLATION BLOC,€22,,
PHYSIOL FRANCE,Médecin,GIRY JEAN ALCIDE,05/09/2013,AUTRE : COLLATION BLOC,€10,,
PHYSIOL FRANCE,Médecin,GIRY JEAN ALCIDE,23/01/2014,AUTRE,€30,,
PHYSIOL FRANCE,Médecin,GIRY JEAN ALCIDE,06/11/2013,AUTRE : COLLATION BLOC,€20,,
PHYSIOL FRANCE,Médecin,SCHAUER PHILIPPE,12/09/2013,AUTRE : COLLATION BLOC,€20,,
PHYSIOL FRANCE,Médecin,SCHAUER PHILIPPE,24/07/2013,AUTRE : COLLATION BLOC,€21,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,MONSAINT CORINNE,01/12/2013,FRAIS DE DEPLACEMENT,€212,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,MONSAINT CORINNE,02/12/2013,RP,€48,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,MONSAINT CORINNE,01/12/2013,HEBERGEMENT,€171,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,MONSAINT CORINNE,01/12/2013,HEBERGEMENT,€139,,
PIERRE FABRE MEDICAMENT,Médecin,BOISSERIE LACROIX VINCENT,20/01/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,BOISSERIE LACROIX VINCENT,07/12/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,BOISSERIE LACROIX VINCENT,12/06/2014,RESTAURATION,€57,,
PIERRE FABRE MEDICAMENT,Médecin,CAYLA PIERRE,24/05/2012,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,11/07/2013,HOSPITALITE SITES PIERRE FABRE,€127,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,01/10/2012,Frais de dÃƒÂ©placement,"€1,211",,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,11/07/2013,HOSPITALITE SITES PIERRE FABRE,€53,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,11/07/2013,HOSPITALITE SITES PIERRE FABRE,€10,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,18/09/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,11/07/2013,HOSPITALITE SITES PIERRE FABRE,€42,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,20/02/2012,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,11/07/2013,HOSPITALITE SITES PIERRE FABRE,€39,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,11/07/2013,FRAIS DE DEPLACEMENT,€112,,
PIERRE FABRE MEDICAMENT,Médecin,COPPIN MURIELLE,28/02/2013,Restauration,€64,,
PIERRE FABRE MEDICAMENT,Médecin,FALQUE LAURENT,20/01/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,FALQUE LAURENT,07/12/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,HOARAU ANNIE,09/04/2013,Restauration,€75,,
PIERRE FABRE MEDICAMENT,Médecin,MARCAILLOU LUC,07/12/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,MARCAILLOU LUC,20/01/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,PELLET FRANCOIS,20/01/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,PELLET FRANCOIS,12/06/2014,RESTAURATION,€57,,
PRECIPHAR,Médecin,CAYLA PIERRE,18/12/2013,REPAS,€15,,
RB Pharmaceuticals France,Médecin,BERANGER Philippe,20/09/2013,Repas,€44,,
RB Pharmaceuticals France,Médecin,BERANGER Philippe,09/04/2014,Repas,€58,,
RB Pharmaceuticals France,Médecin,BERANGER Philippe,09/04/2014,Repas,€58,,
ROCHE SAS,Médecin,CAYLA PIERRE,12/06/2013,Frais remboursés (transport),€25,,
ROCHE SAS,Médecin,CAYLA PIERRE,15/06/2013,Hébergement,€226,,
ROCHE SAS,Médecin,CAYLA PIERRE,15/06/2013,Restauration,€60,,
ROCHE SAS,Médecin,CAYLA PIERRE,14/06/2013,Hébergement,€226,,
ROCHE SAS,Médecin,CAYLA PIERRE,13/06/2013,Hébergement,€226,,
ROCHE SAS,Médecin,CAYLA PIERRE,13/06/2013,Restauration,€60,,
ROCHE SAS,Médecin,CAYLA PIERRE,12/06/2013,Inscription,€650,,
ROCHE SAS,Médecin,CAYLA PIERRE,12/06/2013,Transport,€267,,
ROCHE SAS,Médecin,CAYLA PIERRE,12/06/2013,Hébergement,€226,,
ROCHE SAS,Médecin,CAYLA PIERRE,06/03/2014,Repas,€24,,
ROCHE SAS,Médecin,CAYLA PIERRE,19/06/2014,Repas,€28,,
ROCHE SAS,Médecin,CAYLA PIERRE,12/06/2013,Restauration,€60,,
SANOFI AVENTIS FRANCE,Médecin,AGUEDO MELANIE,13/05/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,BOISSERIE LACROIX VINCENT,19/11/2013,Restauration,€45,,
SANOFI AVENTIS FRANCE,Médecin,DUCOS FRANCOIS,04/06/2014,Repas,€30,,
SANOFI AVENTIS FRANCE,Médecin,DUCOS FRANCOIS,13/05/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,LASSALLE HAGET CHRISTINE,14/06/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,LASSALLE HAGET CHRISTINE,16/01/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Médecin,LEDUC XAVIER,04/06/2014,Repas,€30,,
SANOFI AVENTIS FRANCE,Médecin,LEDUC XAVIER,13/05/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,NEUFFER HERMANN,04/06/2014,Repas,€30,,
SANOFI AVENTIS FRANCE,Médecin,PELLET FRANCOIS,19/11/2013,Restauration,€45,,
SANOFI AVENTIS FRANCE,Médecin,ROCCA PAUL HENRY,13/05/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,ROCCA PAUL HENRY,04/06/2014,Repas,€30,,
SANOFI PASTEUR MSD SNC,Médecin,AGUEDO MELANIE,27/05/2014,Repas,€53,,
SANOFI PASTEUR MSD SNC,Médecin,DUCOS FRANCOIS,27/05/2014,Repas,€53,,
SANOFI PASTEUR MSD SNC,Médecin,DUCOS FRANCOIS,04/02/2014,Repas,€33,,
SANOFI PASTEUR MSD SNC,Médecin,LEDUC XAVIER,04/02/2014,Repas,€33,,
SANOFI PASTEUR MSD SNC,Médecin,LEDUC XAVIER,27/05/2014,Repas,€53,,
SANOFI PASTEUR MSD SNC,Médecin,NEUFFER HERMANN,04/02/2014,Repas,€33,,
SANOFI PASTEUR MSD SNC,Médecin,ROCCA PAUL HENRY,27/05/2014,Repas,€53,,
SANOFI PASTEUR MSD SNC,Médecin,ROCCA PAUL HENRY,04/02/2014,Repas,€33,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,15/04/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,15/01/2014,Repas,€63,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,15/04/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,01/04/2014,Repas,€46,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,13/04/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,14/04/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,16/04/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,12/04/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,12/04/2014,Repas,€905,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,14/04/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,17/04/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,17/04/2014,Hébergement,€280,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,16/04/2014,Hébergement,€280,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,15/04/2014,Hébergement,€280,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,14/04/2014,Hébergement,€280,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,13/04/2014,Hébergement,€280,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,13/04/2014,Inscription,€350,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,16/04/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,14/06/2014,Repas,€16,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,13/04/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,12/04/2014,Repas,€50,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,12/04/2014,Hébergement,€280,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,FALQUE LAURENT,16/04/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,23/03/2014,Repas,€38,,
SOS OXYGENE ATLANTIQUE CENTRE,Médecin,MARCAILLOU LUC,20/03/2014,Hébergement,€190,,
