3M France,Chirurgien-dentiste,BAILLY THOMAS,29/10/2013,REPAS,€47,,
ICOMED,Médecin,WAUQUIEZ NATHALIE,27/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,WAUQUIEZ NATHALIE,27/01/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,YACOUB WILLIAM,12/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,ZEMMOURA MOURAD,29/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ZEMMOURA MOURAD,07/01/2013,Autre: [Enquête],€30,,
INTUITIVE SURGICAL SARL,Médecin,BOUSTANI ROLAND,21/01/2014,Repas,€38,,
IP Santé domicile,Médecin,DAHER Malek,07/09/2013,Hospitalité,"€1,810",,
IPSEN PHARMA,Médecin,GHARBI NOUREDDINE,21/11/2013,REPAS,€48,,
IPSEN PHARMA,Médecin,LEGUEUL JEAN CLAUDE,20/02/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,MARQUANT PIERRE,22/03/2014,REPAS,€56,,
IPSEN PHARMA,Médecin,MARQUANT PIERRE,22/03/2014,REPAS,€42,,
IPSEN PHARMA,Médecin,MARQUANT PIERRE,22/03/2014,REPAS,€13,,
IPSEN PHARMA,Médecin,MARQUANT PIERRE,22/05/2014,REPAS,€63,,
IPSEN PHARMA,Médecin,MARQUANT PIERRE,22/03/2014,HEBERGEMENT,€125,,
IPSEN PHARMA,Médecin,MARQUANT PIERRE,06/02/2014,REPAS,€64,,
IPSEN PHARMA,Médecin,PERRIN FRANCOIS,22/05/2014,REPAS,€63,,
IPSEN PHARMA,Médecin,PERRIN FRANCOIS,07/11/2013,REPAS,€55,,
IPSEN PHARMA,Médecin,PERRIN FRANCOIS,06/02/2014,REPAS,€64,,
IPSEN PHARMA,Médecin,PINSON MICHEL,22/05/2014,REPAS,€63,,
IPSEN PHARMA,Médecin,PINSON MICHEL,07/11/2013,REPAS,€55,,
IPSEN PHARMA,Médecin,PINSON MICHEL,06/02/2014,REPAS,€64,,
IPSEN PHARMA,Médecin,ROSSIGNOL DANIEL,25/06/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,ROSSIGNOL DANIEL,23/04/2014,REPAS,€15,,
IPSEN PHARMA,Médecin,ROSSIGNOL DANIEL,20/02/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,ROSSIGNOL DANIEL,13/03/2014,REPAS,€36,,
IPSEN PHARMA,Médecin,ROSSIGNOL DANIEL,10/07/2013,REPAS,€20,,
IPSEN PHARMA,Médecin,ROUMANI JAWAD,28/03/2014,REPAS,€15,,
IPSEN PHARMA,Médecin,ROUMANI JAWAD,28/03/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,ROUMANI JAWAD,28/03/2014,HEBERGEMENT,€122,,
IPSEN PHARMA,Médecin,ROUMANI JAWAD,28/03/2014,TRANSPORT,€189,,
IPSEN PHARMA,Médecin,ROUMANI JAWAD,28/03/2014,TRANSPORT,€132,,
IPSEN PHARMA,Médecin,ROUMANI JAWAD,28/03/2014,REPAS,€20,,
IPSEN PHARMA,Médecin,ROUMANI JAWAD,28/03/2014,REPAS,€50,,
IPSEN PHARMA,Médecin,VARAGNAT MICHEL,07/11/2013,REPAS,€55,,
IPSEN PHARMA,Médecin,ZEMMOURA MOURAD,06/02/2014,REPAS,€64,,
IPSEN PHARMA,Médecin,ZEMMOURA MOURAD,22/05/2014,REPAS,€63,,
IPSEN PHARMA,Pharmacien,BAUWENS JACQUES,13/06/2014,REPAS,€17,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHESNOY RENEE FRANCE,13/06/2014,REPAS,€17,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLEMENT NATHALIE,13/06/2014,REPAS,€17,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FERRIE MAGALI,13/06/2014,REPAS,€17,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GAZON DEBORAH,13/06/2014,REPAS,€17,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LIORET MARLENE,13/06/2014,REPAS,€17,,
IPSEN PHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RAYNAUD SANDRINE,13/06/2014,REPAS,€17,,
JANSSEN-CILAG,Etudiant,FAROUZ JOACHIM,18/01/2013,REPAS,€30,,
JANSSEN-CILAG,Infirmier,BENHBALOU ATTI SAADIA,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Infirmier,BERLIN SOPHIE,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Infirmier,CHARRON FLORE,18/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,COUSIN JOCELYNE,18/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,DE LOS SANTOS BENEDICTE,18/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,JOINDRON GWENAELLE,18/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,LEBAS VALERIE,18/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,LEPREVOST REGINA,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Infirmier,LEROY SANDRA,18/01/2013,REPAS,€15,,
JANSSEN-CILAG,Infirmier,MARTINEAU MICHEL,11/03/2014,REPAS,€16,,
JANSSEN-CILAG,Infirmier,SONNTAG SANDRINE,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,ANDRIAMIHAJA HONORAT,18/01/2013,REPAS,€30,,
JANSSEN-CILAG,Médecin,ASKOUL WAHEED,23/01/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,ASKOUL WAHEED,19/06/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,ASKOUL HAMZA FATEN,17/03/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,25/01/2013,REPAS,€110,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,25/01/2013,INSCRIPTION,€335,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,25/01/2013,INSCRIPTION,€335,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,29/01/2013,REPAS,€21,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,02/12/2013,REPAS,€20,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,02/07/2013,REPAS,€20,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,25/01/2013,REPAS,€110,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,25/01/2013,HEBERGEMENT,€460,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,09/03/2013,AUTRE : REMBOURSEMENT DE FRAIS,€45,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,28/05/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,16/04/2014,REPAS,€26,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,BELMADANI HOURIA,17/03/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,BENSOUKHAL ABDELKADER,16/04/2013,REPAS,€15,,
JANSSEN-CILAG,Médecin,BENSOUKHAL ABDELKADER,17/03/2014,REPAS,€24,,
JANSSEN-CILAG,Médecin,BENSOUKHAL ABDELKADER,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,BOUZNAD AHCENE,16/04/2013,REPAS,€15,,
JANSSEN-CILAG,Médecin,BOUZNAD AHCENE,10/06/2013,REPAS,€15,,
JANSSEN-CILAG,Médecin,COULIBALY OUSMANE,19/06/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,FAYAL VERONIQUE,19/06/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,GALOIS ERIC,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,LA TORRE IRAM,18/01/2013,REPAS,€30,,
JANSSEN-CILAG,Médecin,LEGUEUL JEAN CLAUDE,23/01/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,LEGUEUL JEAN CLAUDE,20/04/2013,REPAS,€70,,
JANSSEN-CILAG,Médecin,LEGUEUL JEAN CLAUDE,09/04/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,LEGUEUL JEAN CLAUDE,19/06/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,OURRAD SAID,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,OURRAD SAID,07/02/2013,REPAS,€53,,
JANSSEN-CILAG,Médecin,PARAISO DESIRE,18/01/2013,REPAS,€30,,
JANSSEN-CILAG,Médecin,RAMILITIANA JORO,25/01/2013,INSCRIPTION,€335,,
JANSSEN-CILAG,Médecin,RAMILITIANA PRISCA,08/04/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,ROUMANI JAWAD,21/11/2013,REPAS,€16,,
JANSSEN-CILAG,Médecin,ROUMANI JAWAD,20/04/2013,REPAS,€70,,
JANSSEN-CILAG,Médecin,ROUMANI JAWAD,19/06/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,VILAIN CHRISTIAN,18/01/2013,REPAS,€30,,
JANSSEN-CILAG,Pharmacien,LE FEVRE PIERRE FELIX,18/01/2013,REPAS,€30,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,FOUCHER JEAN-JACQUES,23/07/2013,Autre,€15,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,FOULT CAPUCINE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,LECONTE PERRINE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Etudiant,LOCLL ADRIEN,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,AUGUIN MARYLENE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,AUGUIN MARYLENE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BARDET ANAIS,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BARDET ANAIS,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BODINEAU CLAIRE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,BRAUN PIERETTE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,FALL AISSATA,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,GALUTTI ELISABETH,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,GASTELLIER KARINE,26/06/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,GASTELLIER KARINE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,GATELLIER KARINE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,HALOT LISE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,HOARAU SOPHIE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,LELIEVRE CATHERINE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,LELIEVRE GUISLAINE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,LORENTE JESUS,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,MARTIN LAURENCE,26/06/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,PERRIOT YOLAINE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,PERRIOT YOLAINE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,PERRON VERONIQUE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,ROY FLORIE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,THUILLIER VERONIQUE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,THUILLIER VERONIQUE,26/06/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALLART JEAN MAURICE,24/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ASCOFARE ISMAEL,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ASKOUL WAHEED,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,02/02/2013,Hospitalite,€146,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,19/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,19/10/2013,REPAS,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,19/10/2013,REPAS,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,11/10/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,06/10/2012,Transport,€129,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,01/02/2013,Hospitalite,€146,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,01/02/2013,Inscription,€180,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,27/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BENAICHA TAYEB,01/02/2013,Transport,€321,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BIENFAIT BERNARD,24/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLOCH ERIC,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHANU BULA BRIGITTE,28/05/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHEMIN LIUBOV,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CONDY FRANCOISE,11/06/2012,Inscription,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CONDY FRANCOISE,11/06/2012,Transport,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COUTON BANKOLE FELICITE,22/03/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE OLIVEIRA JOSE,06/10/2012,Transport,€122,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEWAILLY DOMINIQUE,18/06/2012,Inscription,€160,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEWAILLY DOMINIQUE,18/06/2012,Transport,€113,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEWAILLY DOMINIQUE,18/06/2012,Hospitalité,€120,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,04/02/2013,Inscription,€175,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,13/06/2012,Inscription,€90,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,13/06/2012,Transport,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,13/06/2012,Hospitalité,€354,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,07/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,05/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,28/05/2012,Inscription,€160,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,28/05/2012,Transport,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,28/05/2012,Hospitalité,€371,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,05/12/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,27/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUPRE JEAN MICHEL,04/02/2013,Hospitalite,€460,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DURAND MANGARD FREDERIQUE,12/06/2013,Hospitalite,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DURAND MANGARD FREDERIQUE,28/05/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DURAND MANGARD FREDERIQUE,15/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DURAND MANJARD FREDERIQUE,10/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ESSAKO GEORGES,11/10/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ESSAKO GEORGES,27/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAYAL VERONIQUE,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FELICITE COUTON,20/03/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FITOUSSI GERARD,10/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FITOUSSI GERARD,12/06/2013,Hospitalite,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FITOUSSI GERARD,15/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHARBI NOUREDDINE,18/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GHARBI NOUREDDINE,19/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRUSS RICHARD,05/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRUSS RICHARD,27/06/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRUSS RICHARD,05/12/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUERRERO RICARDO,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUERRERO RICARDO,26/06/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GUERRERO RICARDO,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HALLADE RASQUIN HELENE,24/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HALLADE RASQUIN HELENE,16/10/2013,TRANSPORT,€219,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HALLADE RASQUIN HELENE,16/10/2013,TRANSPORT,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HALLADE RASQUIN HELENE,16/10/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HALLADE RASQUIN HELENE,16/10/2013,HEBERGEMENT,€177,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HALLADE RASQUIN HELENE,24/10/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HOOCK JACQUES,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEAN MICHEL VIRON PATRICIA,15/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEAN MICHEL VIRON PATRICIA,28/05/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUVIE JACQUES,26/02/2013,Hospitalite,€96,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUVIE JACQUES,26/02/2013,Hospitalite,€460,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUVIE JACQUES,26/02/2013,Inscription,€270,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUVIE JACQUES,26/02/2013,Transport,€118,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KAPEK BEATRICE,07/02/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KLEIN SEVERINE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LASSELIN KARINE,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LATIF ZEITER ALAIN,18/06/2012,Transport,€75,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LATIF ZEITER ALAIN,18/06/2012,Inscription,€340,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LATIF ZEITER ALAIN,18/06/2012,Hospitalité,€562,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LATIF ZEITER ALAIN - AHMAD,25/01/2013,Hospitalite,€234,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LATIF ZEITER ALAIN - AHMAD,25/01/2013,Inscription,€360,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEFEVRE CHRISTOPHE,26/06/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEFEVRE CHRISTOPHE,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGUEUL JEAN CLAUDE,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEHNERT AGNES,06/06/2012,Inscription,€270,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEHNERT AGNES,10/01/2012,Inscription,€150,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEHNERT AGNES,10/01/2012,Transport,€113,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEHNERT AGNES,06/06/2012,Hospitalité,€989,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LHUILLIER PAUL,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUMUMBA EMERI,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUMUMBA EMERI,26/06/2013,Hospitalite,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LUMUMBA EMERI,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,14/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,13/11/2013,REPAS,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,13/11/2013,Autre : [Inscription],€530,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,14/11/2013,HEBERGEMENT,€201,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,13/11/2013,HEBERGEMENT,€201,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,13/11/2013,TRANSPORT,€244,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,13/11/2013,TRANSPORT,€173,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MABROUK ALI,13/11/2013,TRANSPORT,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAKOKO EMINENKOS LUC,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAKOKO EMINENKOS LUC,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANIUC VALERIU,27/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANIUC VALERIU,27/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MBIELEU BLAISE,13/03/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEBROUKINE LIES,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NAHMIAS SALOMON,15/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NICOLA WALID,05/11/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PASSET LAURENT,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERRIN FRANCOIS,28/05/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RANDRIANAVOARISON GINA,18/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROSSIGNOL DANIEL,06/12/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROSSIGNOL DANIEL,18/12/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROSSIGNOL DANIEL,23/05/2014,REPAS,€46,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROSSIGNOL DANIEL,09/04/2014,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROSSIGNOL DANIEL,17/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROUMANI JAWAD,18/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SANNIER NATHALIE,24/05/2014,HEBERGEMENT,€200,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SANNIER NATHALIE,22/05/2014,INSCRIPTION,€248,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SANNIER NATHALIE,03/01/2013,Transport,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SANNIER NATHALIE,22/05/2014,HEBERGEMENT,€200,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SANNIER NATHALIE,03/01/2013,Inscription,€150,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SANNIER NATHALIE,23/05/2014,HEBERGEMENT,€200,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SANNIER NATHALIE,03/01/2013,Hospitalite,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SCHILL HUBERT,21/11/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SWAR ABDULRAHMAN,06/06/2012,Hospitalité,€950,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SWAR ABDULRAHMAN,06/06/2012,Inscription,€270,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SWAR ABDULRAHMAN,18/06/2012,Transport,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SWAR ABDULRAHMAN,05/06/2012,Inscription,€90,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SWAR ABDULRAHMAN,18/06/2012,Inscription,€340,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DU PONT GAILLARD,03/03/2014,CADEAUX,€12,,
LABORATOIRE JALDES,Médecin,Dewailly Dominique,04/11/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRE JALDES,Médecin,Nurit Dominique,04/11/2013,Autre : [ECHANTILLON],€15,,
LABORATOIRES ALCON,Médecin,CHEVREAUD LIONEL,29/01/2014,REPAS,€32,,
LABORATOIRES ALCON,Médecin,CHEVREAUD LIONNEL,24/01/2014,REPAS,€198,,
LABORATOIRES ALCON,Médecin,CHEVREAUD LIONNEL,24/01/2014,HEBERGEMENT,€175,,
LABORATOIRES ALCON,Médecin,OUBRAHAM-MEBROUKINE HASSIBA,24/01/2014,REPAS,€198,,
