3M France,Chirurgien-dentiste,KODJIKIAN SANDRINE,10/04/2014,REPAS,€68,,
JANSSEN-CILAG,Infirmier,MARTIN SANDRA,15/03/2013,REPAS,€27,,
JANSSEN-CILAG,Infirmier,VIAL RAMUS ANNICK,15/03/2013,REPAS,€27,,
JANSSEN-CILAG,Médecin,ARNOULD PIERRE,19/09/2013,REPAS,€55,,
JANSSEN-CILAG,Médecin,BASSON AMANDINE,15/03/2013,REPAS,€27,,
JANSSEN-CILAG,Médecin,BOYER GASTON,01/10/2013,REPAS,€25,,
JANSSEN-CILAG,Médecin,BRUN FRANCOIS,06/06/2013,REPAS,€37,,
JANSSEN-CILAG,Médecin,BRUN FRANCOIS,06/09/2013,REPAS,€46,,
JANSSEN-CILAG,Médecin,FROISSART BRUNO,09/04/2014,INSCRIPTION,€770,,
JANSSEN-CILAG,Médecin,FROISSART BRUNO,01/10/2013,REPAS,€25,,
JANSSEN-CILAG,Médecin,FROISSART BRUNO,09/04/2014,TRANSPORT,€665,,
JANSSEN-CILAG,Médecin,FROISSART BRUNO,09/04/2014,HEBERGEMENT,€912,,
JANSSEN-CILAG,Médecin,HAMAIDI TOUFIK,19/09/2013,REPAS,€55,,
JANSSEN-CILAG,Médecin,RAMEZ VINCENT,15/03/2013,REPAS,€27,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,BESSONE Remy,26/03/2014,Hospitalité,€50,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,GRIGRI Richard,26/03/2014,Hospitalité,€50,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,LAGARDE Crystele,16/10/2013,REPAS,€50,,
Johnson et Johnson Santé Beauté France,Chirurgien-dentiste,SIATKA AUBRY Isabelle,26/06/2014,Hospitalité,€53,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,DELACOUR DOMINIQUE,23/07/2013,Autre,€10,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,MOULIN PATRICE,31/12/2012,Autre,"€1,000",,
laboratoire BAUSCH&LOMB,Médecin,DELCROIX BRIGITTE,23/09/2013,REPAS,€65,,
laboratoire BAUSCH&LOMB,Médecin,DELESTRAS CLAIRE MICHELE,23/09/2013,REPAS,€65,,
laboratoire BAUSCH&LOMB,Médecin,MICHELI GANDY MURIEL,23/09/2013,REPAS,€65,,
laboratoire BAUSCH&LOMB,Médecin,TOUBOUL JEAN,23/09/2013,REPAS,€65,,
laboratoire BAUSCH&LOMB,Médecin,ZAMBELLI CLAUDINE,23/09/2013,REPAS,€65,,
Laboratoire Bioderma,Médecin,JAMET ALAIN,20/05/2014,INVITATIONS,€800,,
LABORATOIRE DENSMORE,Médecin,DELCROIX Brigitte,27/09/2013,Repas,€41,,
LABORATOIRE DENSMORE,Médecin,DELCROIX Brigitte,08/10/2013,FMC DENSMORE,€67,,
LABORATOIRE DENSMORE,Médecin,DELESTRAS Claire,08/10/2013,FMC DENSMORE,€67,,
LABORATOIRE DENSMORE,Médecin,DELESTRAS Claire,27/09/2013,Repas,€41,,
LABORATOIRE DENSMORE,Médecin,ZAMBELLI Claudine,08/10/2013,FMC DENSMORE,€67,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,FRANCOISE FRUMY,13/03/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,GAGNAIRE AMANDINE,29/03/2012,Transport,€122,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,GAGNAIRE AMANDINE,30/03/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Infirmier,GAGNAIRE AMANDINE,29/03/2012,Hospitalité,€228,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AZZOPARDI YVES,15/05/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,AZZOPARDI YVES,21/11/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATELIER HELENE,08/03/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATELLIER HELENE,20/06/2013,Hospitalite,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATELLIER HELENE,24/05/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATELLIER HELENE,24/05/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATELLIER HELENE,24/10/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BATELLIER HELENE,19/01/2012,Hospitalité,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAUDET DENIS,24/05/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAUDET DENIS,07/06/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAUDET DENIS,24/05/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAYON MIR ANA,13/12/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAYON MIR ANA,29/06/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORGEL FLORENT,06/12/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BORGEL FLORENT,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUGUIN ELODIE,27/03/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOURDARIAT AGNES,19/04/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOYOUD GHIDOSSI CELINE,21/05/2014,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOYOUD GHIDOSSI CELINE,17/04/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,17/05/2013,Hospitalite,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,27/04/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,11/04/2014,REPAS,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,17/01/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,06/12/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,25/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,02/03/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,29/11/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BRUN FRANCOIS,08/06/2012,Hospitalité,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAUSSE JEAN RENE,16/01/2014,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAUSSE JEAN RENE,15/05/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAUSSE JEAN RENE,21/11/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAUSSE JEAN RENE,09/04/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CESAR PIERRE,10/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CESAR PIERRE,15/02/2013,Hospitalite,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,06/12/2013,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,14/03/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,17/01/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,17/05/2013,Hospitalite,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,25/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,02/03/2012,Hospitalité,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,17/05/2013,Hospitalite,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,25/01/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAN THIERRY,29/11/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAPUIS CLAUDIE,20/06/2013,Hospitalite,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAPUIS CLAUDIE,19/01/2012,Hospitalité,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAPUIS CLAUDIE,13/12/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHION JEAN LUC,09/10/2012,Hospitalité,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHION JEAN LUC,05/06/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHION JEAN LUC,10/10/2013,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CIAPA AGNES,22/01/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CIAPA AGNES,25/06/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CIAPA AGNES,29/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CIAPA AGNES,27/03/2013,Hospitalite,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CIAPA AGNES,27/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIAB SAMIA,25/04/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIAB SAMIA,29/02/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIAB SAMIA,29/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIAB SAMIA,24/04/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIAB SAMIA,27/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FOUQUET JEAN CLAUDE,17/04/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GAVEND DELESTRAS ISABELLE,04/02/2013,Hospitalite,€16,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GENELOT SYLVIE,27/11/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GENELOT SYLVIE,22/10/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GENELOT SYLVIE,28/02/2014,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,29/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,24/04/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,27/02/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,04/04/2014,HEBERGEMENT,€162,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,01/02/2014,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,26/02/2014,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,14/01/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,22/09/2013,REPAS,€66,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,21/09/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,20/09/2013,REPAS,€44,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,21/09/2013,HEBERGEMENT,€176,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,12/05/2014,REPAS,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,20/09/2013,HEBERGEMENT,€176,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,26/03/2014,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,27/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,01/02/2014,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,26/02/2014,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,25/01/2012,Hospitalité,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,04/06/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,27/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,30/10/2013,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,25/09/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,29/02/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,28/09/2012,Hospitalité,€411,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,25/04/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,22/01/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,28/03/2012,Hospitalité,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,05/04/2014,REPAS,€71,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,23/03/2012,Transport,€717,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,24/04/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,21/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,29/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,26/03/2014,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,21/06/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIREY RANNAUD JANIE,27/02/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOURGUE PHILIPPE,09/04/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GOURGUE PHILIPPE,16/01/2014,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HAIMOVICI JOSEPH,15/12/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HELENE BATTELIER,22/05/2014,REPAS,€17,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JAMET ALAIN,04/06/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JAMET ALAIN,28/08/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,21/05/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,29/02/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,27/03/2013,Hospitalite,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,19/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,25/06/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,30/01/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,10/09/2012,Hospitalité,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,27/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,30/10/2013,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,25/09/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,25/04/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,21/06/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,21/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,28/03/2012,Hospitalité,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,27/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,26/02/2014,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,28/11/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,25/06/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,10/09/2012,Hospitalité,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,21/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,21/06/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,04/06/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,25/04/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JEANJEAN CLAUDE,28/03/2012,Hospitalité,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KHADRANI BOUSBAH HOURIA,24/05/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KHADRANI BOUSBAH HOURIA,24/05/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ MARTINE,06/10/2012,Transport,€211,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,21/05/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,27/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,25/09/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,22/01/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,26/02/2014,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,19/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,29/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,21/06/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,25/06/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,10/09/2012,Hospitalité,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,29/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,24/04/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,22/01/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,19/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,27/11/2013,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,30/10/2013,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,25/09/2013,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,26/02/2014,REPAS,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,30/04/2014,REPAS,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,12/05/2014,REPAS,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,21/05/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,14/01/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,KUENTZ ROUSSEAUX MARTINE,30/01/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANEGLIA HERVE,17/04/2013,Hospitalite,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANEGLIA HERVE,12/06/2014,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEAULLE FLORENCE,06/12/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEAULLE FLORENCE,24/05/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEAULLE FLORENCE,24/05/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEAULLE FLORENCE,15/03/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PANTHOU JEROME,22/10/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PANTHOU JEROME,28/02/2014,REPAS,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PANTHOU JEROME,27/11/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEROT CLAIRE,24/05/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PEROT CLAIRE,24/05/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,28/11/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,31/10/2012,Hospitalité,€56,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,26/09/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,10/09/2012,Hospitalité,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,04/06/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,25/04/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,28/03/2012,Hospitalité,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,29/02/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,19/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,22/01/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,29/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,24/04/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,27/03/2013,Hospitalite,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,22/01/2014,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,01/02/2013,Transport,€408,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,30/01/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,19/06/2013,Hospitalite,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,04/06/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,24/04/2013,Hospitalite,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,25/06/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,25/04/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,26/09/2012,Hospitalité,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,01/02/2013,Hospitalite,€182,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,27/02/2013,Hospitalite,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,02/02/2013,Hospitalite,€182,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,03/02/2013,Hospitalite,€182,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,29/05/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,27/03/2013,Hospitalite,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PLAINDOUX AGNES,14/01/2013,Hospitalite,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,REGENT EMMANUELLE,22/03/2013,Hospitalite,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RENAULT FREDERIC,10/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RENAULT FREDERIC,04/02/2013,Hospitalite,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RENAULT FREDERIC,17/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RENAULT FREDERIC,10/10/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RENAULT FREDERIC,17/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAEZ GERARD,08/10/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERCHERY BENEDICTE,24/04/2014,REPAS,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,YEM TARANTINI A MARIE,27/11/2012,Hospitalité,€57,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,YEM TARANTINI A MARIE,21/05/2014,REPAS,€51,,
